pop,iMass,age,Fe/H_initial,Mass,In_Final_Phase,Dist,l,b,vr_bc,mul,mub,x,y,z,U,V,W,VR_LSR,A_Ks,logL,logTeff,logg,Fe/H_evolved,log_radius,phase,Bessell_B,Bessell_V,Bessell_I,Gaia_G_EDR3,Gaia_BP_EDR3,Gaia_RP_EDR3,2MASS_J,2MASS_H,2MASS_Ks,Z087,W146,Is_Binary,primary_ID,ID,combined_logL,total_mass,q,combined_logP
0.0000000e+00,5.3422138e-01,1.0000000e+01,2.3024958e-01,5.3420444e-01,0.0000000e+00,7.1626167e+00,2.0029116e-01,1.5995344e+00,-8.4833475e+01,-7.3945546e+00,-1.2731910e+00,-1.0178179e+00,2.5028840e-02,2.0205004e-01,-6.9910081e+01,-5.7666728e+00,-3.7629260e+01,-7.5325727e+01,5.4024959e-01,-1.3472018e+00,3.5722681e+00,4.7563525e+00,2.5281424e-01,-2.9545986e-01,0.0000000e+00,3.7624669e+01,3.2830696e+01,2.6897746e+01,2.9850771e+01,3.3429291e+01,2.7144299e+01,2.2589016e+01,2.0968751e+01,2.0329385e+01,2.5745463e+01,2.2181225e+01,0.0000000e+00,0.0,000000026,,,,
0.0000000e+00,3.4269608e-01,1.0000000e+01,2.0725776e-01,3.4267688e-01,0.0000000e+00,7.1255581e+00,2.0042348e-01,1.6003594e+00,6.4921703e+01,-4.1307166e+00,-3.1217953e-01,-1.0548666e+00,2.4915782e-02,2.0119517e-01,7.8560275e+01,1.0629950e+02,-1.0842248e+00,7.4429605e+01,5.4023528e-01,-1.8898067e+00,3.5155331e+00,4.8798412e+00,2.7711817e-01,-4.5329244e-01,0.0000000e+00,3.9841938e+01,3.5044299e+01,2.8432173e+01,3.1603745e+01,3.5640911e+01,2.8715593e+01,2.3761969e+01,2.2213334e+01,2.1544466e+01,2.7159272e+01,2.3431063e+01,0.0000000e+00,0.0,000000027,,,,
0.0000000e+00,3.9795471e-01,1.0000000e+01,8.8455230e-02,3.9794652e-01,0.0000000e+00,7.2283290e+00,2.0031644e-01,1.6002656e+00,-1.1941800e+02,-2.6739512e+00,-1.8255868e+00,-9.5213030e-01,2.5261641e-02,2.0383996e-01,-1.0454011e+02,1.5356457e+02,-5.7841488e+01,-1.0991015e+02,5.4027486e-01,-1.6884428e+00,3.5481013e+00,4.8734433e+00,1.1811355e-01,-4.1774690e-01,0.0000000e+00,3.8779526e+01,3.3954947e+01,2.7809993e+01,3.0840185e+01,3.4553948e+01,2.8072743e+01,2.3399608e+01,2.1823749e+01,2.1163788e+01,2.6622265e+01,2.3026832e+01,0.0000000e+00,0.0,000000028,,,,
0.0000000e+00,1.3112083e-01,1.0000000e+01,2.4886330e-01,1.3111972e-01,0.0000000e+00,7.2429201e+00,1.9966472e-01,1.6000015e+00,-2.9487676e+02,-7.2279570e+00,-2.3533497e+00,-9.3754302e-01,2.5230285e-02,2.0418374e-01,-2.7892346e+02,-3.5886276e+00,-8.0617417e+01,-2.8536918e+02,5.4028052e-01,-2.9406528e+00,3.4349804e+00,5.1460052e+00,3.0835348e-01,-8.1761016e-01,0.0000000e+00,4.4993931e+01,3.9895735e+01,3.1871785e+01,3.5177947e+01,4.0468783e+01,3.2039338e+01,2.6203934e+01,2.4634354e+01,2.3919527e+01,3.0237835e+01,2.5984030e+01,0.0000000e+00,0.0,000000029,,,,
0.0000000e+00,5.4629209e-01,1.0000000e+01,-4.9129688e-01,5.4626111e-01,0.0000000e+00,7.2562706e+00,2.0010689e-01,1.5997925e+00,-8.7408549e+01,-9.9386322e+00,-3.0144958e+00,-9.2419655e-01,2.5332770e-02,2.0450230e-01,-7.0605431e+01,-9.6563388e+01,-9.8139536e+01,-7.7900833e+01,5.4028565e-01,-1.0702155e+00,3.6294141e+00,4.7179408e+00,-5.2126572e-01,-2.7125885e-01,0.0000000e+00,3.6073092e+01,3.1423760e+01,2.6150634e+01,2.8792215e+01,3.2020637e+01,2.6304031e+01,2.2120455e+01,2.0523613e+01,1.9946873e+01,2.5090339e+01,2.1707066e+01,0.0000000e+00,0.0,000000030,,,,
0.0000000e+00,6.2810024e-01,1.0000000e+01,-1.1000619e-01,6.2805734e-01,0.0000000e+00,7.2714681e+00,2.0027887e-01,1.5996988e+00,-1.2849774e+02,-5.3002292e+00,-1.1856945e-01,-9.0900401e-01,2.5407646e-02,2.0488312e-01,-1.1480983e+02,6.2452672e+01,3.7275019e-01,-1.1898998e+02,5.4029149e-01,-9.2458376e-01,3.6351239e+00,4.6551239e+00,-1.3174950e-01,-2.0986257e-01,0.0000000e+00,3.5693114e+01,3.1047548e+01,2.5789098e+01,2.8423921e+01,3.1643281e+01,2.5943662e+01,2.1760829e+01,2.0156948e+01,1.9589737e+01,2.4733244e+01,2.1345637e+01,0.0000000e+00,0.0,000000031,,,,
0.0000000e+00,1.8723079e-01,1.0000000e+01,4.9009482e-01,1.8722943e-01,0.0000000e+00,7.2659004e+00,1.9975715e-01,1.6004830e+00,2.1924427e+01,-4.7760463e+00,1.1998865e-01,-9.1457215e-01,2.5322046e-02,2.0483868e-01,3.5283656e+01,8.1171886e+01,1.2477082e+01,3.1432109e+01,5.4028934e-01,-2.6785490e+00,3.4098467e+00,4.9772328e+00,5.8161226e-01,-6.3629070e-01,0.0000000e+00,4.4953031e+01,4.0004551e+01,3.1687863e+01,3.4958899e+01,4.0531245e+01,3.1750257e+01,2.5534106e+01,2.4036960e+01,2.3267557e+01,2.9870932e+01,2.5377525e+01,0.0000000e+00,0.0,000000032,,,,
0.0000000e+00,2.0714495e-01,1.0000000e+01,2.7760272e-01,2.0714265e-01,0.0000000e+00,7.2985768e+00,2.0039079e-01,1.5998280e+00,8.6356776e+01,-6.4876703e+00,8.5189754e-01,-8.8190501e-01,2.5516617e-02,2.0560002e-01,9.9250833e+01,2.1435531e+01,3.9474578e+01,9.5864597e+01,5.4030198e-01,-2.5555507e+00,3.4585486e+00,5.0392755e+00,3.4016531e-01,-6.7219532e-01,0.0000000e+00,4.3223371e+01,3.8258917e+01,3.0689998e+01,3.3962224e+01,3.8836918e+01,3.0896423e+01,2.5326630e+01,2.3780024e+01,2.3074596e+01,2.9168131e+01,2.5076962e+01,0.0000000e+00,0.0,000000033,,,,
0.0000000e+00,5.1301430e-01,1.0000000e+01,-3.2652208e-01,5.1299285e-01,0.0000000e+00,7.2577859e+00,1.9998395e-01,1.6002365e+00,-1.8389441e+02,-4.1998570e+00,1.0248269e+00,-9.2268321e-01,2.5322488e-02,2.0459769e-01,-1.7133887e+02,1.0045841e+02,3.8273406e+01,-1.7438668e+02,5.4028624e-01,-1.2410793e+00,3.6032386e+00,4.7565527e+00,-3.4131827e-01,-3.0433961e-01,0.0000000e+00,3.6852815e+01,3.2071719e+01,2.6593038e+01,2.9331072e+01,3.2671293e+01,2.6768050e+01,2.2482187e+01,2.0880383e+01,2.0265478e+01,2.5506824e+01,2.2070284e+01,0.0000000e+00,0.0,000000034,,,,
0.0000000e+00,4.0596959e-01,1.0000000e+01,4.0765076e-01,4.0596236e-01,0.0000000e+00,7.2679748e+00,1.9966411e-01,1.5997788e+00,5.8746618e+01,-1.1485280e+01,-2.0122131e+00,-9.1249608e-01,2.5317487e-02,2.0480301e-01,7.4797016e+01,-1.4989569e+02,-6.0009744e+01,6.8254175e+01,5.4029018e-01,-1.7622333e+00,3.5187861e+00,4.8383537e+00,4.6974629e-01,-3.9601169e-01,0.0000000e+00,3.9590957e+01,3.4881813e+01,2.8205425e+01,3.1387126e+01,3.5469254e+01,2.8483753e+01,2.3470768e+01,2.1919810e+01,2.1256033e+01,2.6911811e+01,2.3139097e+01,0.0000000e+00,0.0,000000035,,,,
