     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0096 0.0044       0.0000 5.035415e+01  60.956951  65.362772  66.952596
0.0097 0.0044       0.0000 5.039860e+01  60.963328  65.341535  66.916130
0.0098 0.0044       0.0000 5.044138e+01  60.971368  65.321701  66.890979
0.0099 0.0044       0.0000 5.048393e+01  60.980595  65.303687  66.867714
0.0100 0.0044       0.0000 5.052536e+01  60.990899  65.287123  66.842717
0.0000 0.0045    1703.7300 1.469333e-13  51.911460  51.910985  55.742201
0.0001 0.0045    1705.0000 1.666700e+00  78.765465  78.595889  88.178551
0.0002 0.0045    1708.7960 3.407093e+00  78.766167  78.465316  87.835900
0.0003 0.0045    1715.0660 5.185684e+00  78.701621  78.302142  87.488370
0.0004 0.0045    1723.7280 6.978328e+00  78.572184  78.115682  87.127575
0.0005 0.0045    1734.6710 8.766175e+00  78.386880  77.914139  86.753132
0.0006 0.0045    1747.7530 1.053502e+01  78.154150  77.702910  86.370284
0.0007 0.0045    1762.8080 1.227470e+01  77.876097  77.482994  85.971925
0.0008 0.0045    1779.6460 1.396434e+01  77.564471  77.259445  85.584206
0.0009 0.0045    1798.0610 1.560724e+01  77.219253  77.029338  85.182581
0.0010 0.0045    1817.8280 1.719537e+01  76.844608  76.795806  84.773431
0.0011 0.0045    1838.7140 1.872491e+01  76.448546  76.562642  84.370808
0.0012 0.0045    1860.4780 2.019272e+01  76.032736  76.325354  83.953549
0.0013 0.0045    1882.8760 2.159904e+01  75.607145  76.088590  83.550635
0.0014 0.0045    1905.6650 2.294387e+01  75.166264  75.851091  83.131640
0.0015 0.0045    1928.6070 2.422719e+01  74.721059  75.613472  82.721350
0.0016 0.0045    1951.4710 2.545037e+01  74.270703  75.377618  82.307898
0.0017 0.0045    1974.0380 2.661488e+01  73.820075  75.141966  81.899028
0.0018 0.0045    1996.1030 2.772512e+01  73.368997  74.908109  81.491543
0.0019 0.0045    2017.4760 2.877982e+01  72.920514  74.674245  81.084380
0.0020 0.0045    2037.9840 2.978214e+01  72.477328  74.444561  80.688351
0.0021 0.0045    2057.4740 3.073586e+01  72.040291  74.216263  80.289403
0.0022 0.0045    2075.8100 3.164144e+01  71.611116  73.990318  79.899149
0.0023 0.0045    2092.8790 3.250240e+01  71.189556  73.766433  79.512077
0.0024 0.0045    2108.5840 3.332007e+01  70.777193  73.547161  79.130476
0.0025 0.0045    2122.8500 3.409827e+01  70.373955  73.329132  78.753738
0.0026 0.0045    2135.6170 3.483725e+01  69.981397  73.112981  78.386432
0.0027 0.0045    2146.8460 3.553967e+01  69.599077  72.900134  78.023690
0.0028 0.0045    2156.5100 3.620823e+01  69.228126  72.689401  77.667774
0.0029 0.0045    2164.6000 3.684300e+01  68.868404  72.483027  77.321734
0.0030 0.0045    2171.1170 3.744762e+01  68.518210  72.279473  76.976021
0.0031 0.0045    2176.0770 3.802258e+01  68.180859  72.079658  76.644816
0.0032 0.0045    2179.5040 3.857052e+01  67.854041  71.883476  76.317936
0.0033 0.0045    2181.4300 3.909173e+01  67.538364  71.688781  75.996388
0.0034 0.0045    2181.8980 3.958948e+01  67.233260  71.498328  75.685663
0.0035 0.0045    2180.9520 4.006184e+01  66.939844  71.311116  75.380849
0.0036 0.0045    2178.6450 4.051363e+01  66.656534  71.127284  75.084053
0.0037 0.0045    2175.0310 4.094276e+01  66.384158  70.946728  74.796464
0.0038 0.0045    2170.1680 4.135291e+01  66.121632  70.769064  74.515524
0.0039 0.0045    2164.1150 4.174448e+01  65.868507  70.595134  74.237914
0.0040 0.0045    2156.9330 4.211819e+01  65.624788  70.424660  73.966919
0.0041 0.0045    2148.6820 4.247445e+01  65.391894  70.256875  73.708835
0.0042 0.0045    2139.4210 4.281488e+01  65.167313  70.093127  73.457356
0.0043 0.0045    2129.2120 4.314012e+01  64.952248  69.931267  73.209500
0.0044 0.0045    2118.1120 4.345186e+01  64.744898  69.774022  72.968575
0.0045 0.0045    2106.1770 4.374874e+01  64.548174  69.621138  72.737634
0.0046 0.0045    2093.4640 4.403194e+01  64.358339  69.469847  72.511125
0.0047 0.0045    2080.0260 4.430434e+01  64.176278  69.322848  72.290559
0.0048 0.0045    2065.9150 4.456397e+01  64.001791  69.178385  72.078000
0.0049 0.0045    2051.1800 4.481360e+01  63.834040  69.037329  71.871967
0.0050 0.0045    2035.8700 4.505185e+01  63.674485  68.898666  71.669758
0.0051 0.0045    2020.0300 4.527982e+01  63.521952  68.763615  71.474282
0.0052 0.0045    2003.7040 4.549812e+01  63.376447  68.631483  71.285376
0.0053 0.0045    1986.9340 4.570872e+01  63.236329  68.502874  71.101701
0.0054 0.0045    1969.7570 4.590899e+01  63.104157  68.377831  70.927618
0.0055 0.0045    1952.2140 4.610132e+01  62.976765  68.255605  70.754484
0.0056 0.0045    1934.3380 4.628643e+01  62.855572  68.136013  70.587252
0.0057 0.0045    1916.1640 4.646314e+01  62.740645  68.019590  70.427495
0.0058 0.0045    1897.7240 4.663440e+01  62.629870  67.906827  70.273857
0.0059 0.0045    1879.0480 4.679732e+01  62.525661  67.796699  70.123842
0.0060 0.0045    1860.1640 4.695648e+01  62.425850  67.690672  69.960741
0.0061 0.0045    1841.1010 4.710751e+01  62.331250  67.586021  69.817081
0.0062 0.0045    1821.8830 4.725325e+01  62.241494  67.485090  69.683626
0.0063 0.0045    1802.5350 4.739160e+01  62.156587  67.385989  69.565939
0.0064 0.0045    1783.0790 4.752623e+01  62.076047  67.291260  69.441781
0.0065 0.0045    1763.5370 4.765671e+01  61.999590  67.199286  69.316784
0.0066 0.0045    1743.9300 4.778130e+01  61.928097  67.110139  69.200164
0.0067 0.0045    1724.2770 4.790181e+01  61.859674  67.023290  69.086637
0.0068 0.0045    1704.5950 4.801811e+01  61.796103  66.940159  68.977996
0.0069 0.0045    1684.9020 4.813053e+01  61.735367  66.858803  68.871892
0.0070 0.0045    1665.2130 4.823986e+01  61.678567  66.781058  68.758070
0.0071 0.0045    1645.5440 4.834433e+01  61.625155  66.704486  68.660141
0.0072 0.0045    1625.9080 4.844555e+01  61.575004  66.630436  68.564123
0.0073 0.0045    1606.3200 4.854305e+01  61.528057  66.559975  68.473131
0.0074 0.0045    1586.7910 4.863674e+01  61.484727  66.492885  68.387276
0.0075 0.0045    1567.3320 4.872746e+01  61.444043  66.427445  68.303616
0.0076 0.0045    1547.9560 4.881414e+01  61.406568  66.363448  68.236952
0.0077 0.0045    1528.6710 4.889925e+01  61.371461  66.301983  68.155911
0.0078 0.0045    1509.4880 4.898115e+01  61.339635  66.244095  68.084135
0.0079 0.0045    1490.4150 4.906084e+01  61.310279  66.187202  68.010517
0.0080 0.0045    1471.4600 4.913741e+01  61.283239  66.133008  67.942654
0.0081 0.0045    1452.6310 4.921207e+01  61.258984  66.080704  67.876717
0.0082 0.0045    1433.9350 4.928397e+01  61.237070  66.031383  67.815721
0.0083 0.0045    1415.3790 4.935444e+01  61.217090  65.983079  67.751274
0.0084 0.0045    1396.9680 4.942253e+01  61.199315  65.937653  67.697507
0.0085 0.0045    1378.7080 4.948846e+01  61.184362  65.894925  67.643578
0.0086 0.0045    1360.6040 4.955259e+01  61.171361  65.852942  67.587807
0.0087 0.0045    1342.6610 4.961402e+01  61.159230  65.812221  67.537792
0.0088 0.0045    1324.8830 4.967432e+01  61.149578  65.774210  67.487437
0.0089 0.0045    1307.2730 4.973334e+01  61.141368  65.738147  67.438991
0.0090 0.0045       0.0000 4.979109e+01  61.133780  65.703283  67.393987
0.0091 0.0045       0.0000 4.984689e+01  61.129342  65.670454  67.348823
0.0092 0.0045       0.0000 4.990080e+01  61.126157  65.640325  67.312518
0.0093 0.0045       0.0000 4.995319e+01  61.124827  65.611601  67.270660
0.0094 0.0045       0.0000 5.000415e+01  61.125533  65.584075  67.235156
0.0095 0.0045       0.0000 5.005431e+01  61.127027  65.558173  67.201500
0.0096 0.0045       0.0000 5.010280e+01  61.130674  65.534109  67.174003
0.0097 0.0045       0.0000 5.015073e+01  61.134758  65.511823  67.140625
0.0098 0.0045       0.0000 5.019727e+01  61.140671  65.490836  67.108954
0.0099 0.0045       0.0000 5.024268e+01  61.147857  65.471173  67.079838
0.0100 0.0045       0.0000 5.028652e+01  61.156548  65.453681  67.056507
0.0000 0.0046    1614.4030 1.887958e-07  51.797692  51.797339  55.578159
0.0001 0.0046    1615.5930 1.639373e+00  78.799213  78.636980  88.238581
0.0002 0.0046    1619.1460 3.350174e+00  78.796111  78.506261  87.909706
0.0003 0.0046    1625.0170 5.098148e+00  78.729644  78.347140  87.569228
0.0004 0.0046    1633.1310 6.862719e+00  78.600018  78.165627  87.210699
0.0005 0.0046    1643.3850 8.618453e+00  78.421355  77.967944  86.852930
0.0006 0.0046    1655.6500 1.035732e+01  78.193466  77.760915  86.480664
0.0007 0.0046    1669.7740 1.206428e+01  77.924598  77.547515  86.102485
0.0008 0.0046    1685.5840 1.373063e+01  77.618647  77.327723  85.714029
0.0009 0.0046    1702.8890 1.534745e+01  77.281806  77.103020  85.320027
0.0010 0.0046    1721.4850 1.691172e+01  76.917665  76.875117  84.924029
0.0011 0.0046    1741.1570 1.841833e+01  76.529020  76.645636  84.525317
0.0012 0.0046    1761.6840 1.986505e+01  76.126200  76.414106  84.125628
0.0013 0.0046    1782.8410 2.125331e+01  75.709083  76.183349  83.727141
0.0014 0.0046    1804.4050 2.258063e+01  75.280918  75.949644  83.324764
0.0015 0.0046    1826.1550 2.384702e+01  74.844732  75.717421  82.922434
0.0016 0.0046    1847.8780 2.505591e+01  74.405048  75.485904  82.521987
0.0017 0.0046    1869.3710 2.620898e+01  73.964046  75.254536  82.121311
0.0018 0.0046    1890.4430 2.730582e+01  73.523084  75.025629  81.722235
0.0019 0.0046    1910.9150 2.835146e+01  73.086482  74.797410  81.301746
0.0020 0.0046    1930.6270 2.934526e+01  72.652215  74.570132  80.919800
0.0021 0.0046    1949.4320 3.028934e+01  72.223504  74.346026  80.547167
0.0022 0.0046    1967.2040 3.118854e+01  71.802273  74.123907  80.161439
0.0023 0.0046    1983.8330 3.204377e+01  71.388390  73.903793  79.780827
0.0024 0.0046    1999.2250 3.285866e+01  70.983082  73.685716  79.402694
0.0025 0.0046    2013.3070 3.363149e+01  70.586788  73.471984  79.036380
0.0026 0.0046    2026.0190 3.436790e+01  70.199854  73.260864  78.668975
0.0027 0.0046    2037.3190 3.506703e+01  69.823925  73.050645  78.313551
0.0028 0.0046    2047.1800 3.573292e+01  69.458065  72.844816  77.965004
0.0029 0.0046    2055.5870 3.636795e+01  69.103757  72.641053  77.623118
0.0030 0.0046    2062.5380 3.697125e+01  68.759187  72.441104  77.285238
0.0031 0.0046    2068.0420 3.754643e+01  68.425992  72.243670  76.953158
0.0032 0.0046    2072.1180 3.809440e+01  68.102314  72.049562  76.632945
0.0033 0.0046    2074.7940 3.861818e+01  67.788479  71.857658  76.311173
0.0034 0.0046    2076.1030 3.911520e+01  67.487391  71.670345  76.004797
0.0035 0.0046    2076.0850 3.959003e+01  67.195810  71.485381  75.702259
0.0036 0.0046    2074.7850 4.004352e+01  66.914571  71.304314  75.405906
0.0037 0.0046    2072.2520 4.047508e+01  66.644105  71.124854  75.119750
0.0038 0.0046    2068.5360 4.088700e+01  66.382672  70.949849  74.840015
0.0039 0.0046    2063.6910 4.128077e+01  66.131629  70.777654  74.565224
0.0040 0.0046    2057.7700 4.165704e+01  65.888849  70.608307  74.296779
0.0041 0.0046    2050.8290 4.201793e+01  65.654922  70.442513  74.033564
0.0042 0.0046    2042.9230 4.236032e+01  65.431921  70.280002  73.782749
0.0043 0.0046    2034.1050 4.268904e+01  65.217367  70.120884  73.537711
0.0044 0.0046    2024.4290 4.300355e+01  65.010472  69.963428  73.297721
0.0045 0.0046    2013.9470 4.330452e+01  64.812255  69.812027  73.064440
0.0046 0.0046    2002.7110 4.359285e+01  64.621202  69.662312  72.836566
0.0047 0.0046    1990.7710 4.386770e+01  64.439266  69.515041  72.614540
0.0048 0.0046    1978.1740 4.413121e+01  64.264324  69.373179  72.402085
0.0049 0.0046    1964.9660 4.438412e+01  64.096986  69.232539  72.195015
0.0050 0.0046    1951.1930 4.462667e+01  63.936043  69.094789  71.993025
0.0051 0.0046    1936.8960 4.485889e+01  63.782204  68.960106  71.796704
0.0052 0.0046    1922.1170 4.508180e+01  63.635228  68.828476  71.606012
0.0053 0.0046    1906.8940 4.529549e+01  63.493982  68.700052  71.419717
0.0054 0.0046    1891.2650 4.550003e+01  63.359588  68.575537  71.243175
0.0055 0.0046    1875.2640 4.569686e+01  63.230943  68.453618  71.068408
0.0056 0.0046    1858.9250 4.588586e+01  63.107973  68.334865  70.901043
0.0057 0.0046    1842.2810 4.606749e+01  62.991674  68.219048  70.740322
0.0058 0.0046    1825.3600 4.624181e+01  62.880200  68.105524  70.579654
0.0059 0.0046    1808.1930 4.640963e+01  62.774181  67.996164  70.431660
0.0060 0.0046    1790.8060 4.657254e+01  62.672637  67.890294  70.269484
0.0061 0.0046    1773.2260 4.672761e+01  62.576534  67.786000  70.124698
0.0062 0.0046    1755.4750 4.687807e+01  62.484183  67.685137  69.985042
0.0063 0.0046    1737.5780 4.702182e+01  62.397806  67.587235  69.855795
0.0064 0.0046    1719.5560 4.716051e+01  62.314853  67.490242  69.734804
0.0065 0.0046    1701.4300 4.729422e+01  62.236739  67.398570  69.612096
0.0066 0.0046    1683.2200 4.742325e+01  62.163373  67.308979  69.494538
0.0067 0.0046    1664.9430 4.754746e+01  62.093293  67.221724  69.377632
0.0068 0.0046    1646.6180 4.766904e+01  62.026662  67.137780  69.263950
0.0069 0.0046    1628.2610 4.778410e+01  61.964846  67.056833  69.158251
0.0070 0.0046    1609.8860 4.789728e+01  61.905032  66.977297  69.052318
0.0071 0.0046    1591.5100 4.800496e+01  61.850771  66.900772  68.952389
0.0072 0.0046    1573.1450 4.811148e+01  61.798302  66.826961  68.843477
0.0073 0.0046    1554.8050 4.821357e+01  61.748842  66.755169  68.748153
0.0074 0.0046    1536.5010 4.831060e+01  61.702548  66.687685  68.654654
0.0075 0.0046    1518.2450 4.840529e+01  61.660975  66.620970  68.573885
0.0076 0.0046    1500.0490 4.849653e+01  61.621263  66.556661  68.489477
0.0077 0.0046    1481.9210 4.858500e+01  61.584247  66.495514  68.411030
0.0078 0.0046    1463.8710 4.866972e+01  61.550149  66.435076  68.345199
0.0079 0.0046    1445.9090 4.875274e+01  61.518775  66.377682  68.270994
0.0080 0.0046    1428.0420 4.883346e+01  61.490121  66.322616  68.200218
0.0081 0.0046    1410.2780 4.891129e+01  61.463762  66.269359  68.134443
0.0082 0.0046    1392.6250 4.898739e+01  61.439626  66.218755  68.069163
0.0083 0.0046    1375.0880 4.906121e+01  61.417604  66.170038  68.001962
0.0084 0.0046    1357.6750 4.913276e+01  61.397994  66.123225  67.939902
0.0085 0.0046    1340.3900 4.920242e+01  61.380343  66.079340  67.885468
0.0086 0.0046    1323.2390 4.926904e+01  61.365812  66.036492  67.828342
0.0087 0.0046    1306.2270 4.933379e+01  61.351776  65.995083  67.777868
0.0088 0.0046    1289.3590 4.939656e+01  61.340870  65.956022  67.729174
0.0089 0.0046       0.0000 4.945964e+01  61.329710  65.918560  67.678493
0.0090 0.0046       0.0000 4.952015e+01  61.320107  65.883058  67.629987
0.0091 0.0046       0.0000 4.957868e+01  61.313645  65.849419  67.586215
0.0092 0.0046       0.0000 4.963636e+01  61.308962  65.817611  67.545183
0.0093 0.0046       0.0000 4.969193e+01  61.305856  65.787235  67.503262
0.0094 0.0046       0.0000 4.974667e+01  61.303801  65.758777  67.463202
0.0095 0.0046       0.0000 4.979924e+01  61.304090  65.732258  67.427208
0.0096 0.0046       0.0000 4.985094e+01  61.305477  65.706723  67.389935
0.0097 0.0046       0.0000 4.990127e+01  61.308052  65.682787  67.360694
0.0098 0.0046       0.0000 4.995077e+01  61.311908  65.660844  67.327290
0.0099 0.0046       0.0000 4.999930e+01  61.317161  65.640356  67.293843
0.0100 0.0046       0.0000 5.004589e+01  61.323611  65.621183  67.265512
0.0000 0.0047    1530.9620 0.000000e+00  51.699326  51.698760  55.429143
0.0001 0.0047    1532.0770 1.612666e+00  78.835782  78.680311  88.312068
0.0002 0.0047    1535.4090 3.295005e+00  78.830311  78.551184  87.981371
0.0003 0.0047    1540.9150 5.013420e+00  78.761648  78.396167  87.641038
0.0004 0.0047    1548.5270 6.746170e+00  78.636302  78.217270  87.303630
0.0005 0.0047    1558.1500 8.473869e+00  78.459712  78.024520  86.953999
0.0006 0.0047    1569.6670 1.018454e+01  78.236665  77.822564  86.587663
0.0007 0.0047    1582.9370 1.186391e+01  77.973974  77.611969  86.219665
0.0008 0.0047    1597.8030 1.350377e+01  77.675918  77.398286  85.845314
0.0009 0.0047    1614.0880 1.509585e+01  77.347248  77.177654  85.462002
0.0010 0.0047    1631.6050 1.663561e+01  76.991838  76.956035  85.074567
0.0011 0.0047    1650.1570 1.812052e+01  76.615222  76.730409  84.688396
0.0012 0.0047    1669.5400 1.954615e+01  76.220431  76.505986  84.299453
0.0013 0.0047    1689.5470 2.091467e+01  75.813237  76.277643  83.904179
0.0014 0.0047    1709.9710 2.222442e+01  75.395788  76.050607  83.515077
0.0015 0.0047    1730.6080 2.347630e+01  74.970384  75.822198  83.122101
0.0016 0.0047    1751.2610 2.467105e+01  74.540689  75.595469  82.729337
0.0017 0.0047    1771.7410 2.581148e+01  74.110344  75.368762  82.313038
0.0018 0.0047    1791.8700 2.689641e+01  73.678994  75.143362  81.946334
0.0019 0.0047    1811.4810 2.793092e+01  73.250834  74.918871  81.558355
0.0020 0.0047    1830.4220 2.891591e+01  72.826052  74.696732  81.173143
0.0021 0.0047    1848.5570 2.985301e+01  72.405906  74.476959  80.791965
0.0022 0.0047    1865.7640 3.074515e+01  71.993281  74.258475  80.416206
0.0023 0.0047    1881.9390 3.159470e+01  71.586363  74.042477  80.043785
0.0024 0.0047    1896.9910 3.240299e+01  71.186535  73.829259  79.670562
0.0025 0.0047    1910.8480 3.317450e+01  70.797352  73.617732  79.308940
0.0026 0.0047    1923.4510 3.390611e+01  70.417922  73.409220  78.948376
0.0027 0.0047    1934.7580 3.460331e+01  70.047685  73.203300  78.600100
0.0028 0.0047    1944.7380 3.526688e+01  69.689055  73.000249  78.256315
0.0029 0.0047    1953.3750 3.589955e+01  69.338617  72.799985  77.919519
0.0030 0.0047    1960.6620 3.650275e+01  68.998253  72.602717  77.585465
0.0031 0.0047    1966.6050 3.707770e+01  68.668818  72.407775  77.260554
0.0032 0.0047    1971.2170 3.762561e+01  68.348970  72.215776  76.939465
0.0033 0.0047    1974.5200 3.814861e+01  68.039320  72.027092  76.624174
0.0034 0.0047    1976.5420 3.864843e+01  67.739472  71.840998  76.315012
0.0035 0.0047    1977.3190 3.912318e+01  67.451299  71.658866  76.018494
0.0036 0.0047    1976.8880 3.957844e+01  67.171457  71.479560  75.722613
0.0037 0.0047    1975.2940 4.001197e+01  66.902726  71.303133  75.437247
0.0038 0.0047    1972.5800 4.042664e+01  66.643012  71.129267  75.160330
0.0039 0.0047    1968.7940 4.082271e+01  66.393164  70.959207  74.888861
0.0040 0.0047    1963.9860 4.120189e+01  66.151537  70.792348  74.620259
0.0041 0.0047    1958.2060 4.156383e+01  65.919256  70.627856  74.361562
0.0042 0.0047    1951.5010 4.191024e+01  65.695811  70.467082  74.107043
0.0043 0.0047    1943.9240 4.224263e+01  65.480825  70.308748  73.862407
0.0044 0.0047    1935.5210 4.256003e+01  65.274629  70.152534  73.623496
0.0045 0.0047    1926.3430 4.286418e+01  65.076400  70.002033  73.388164
0.0046 0.0047    1916.4350 4.315536e+01  64.885238  69.853632  73.160282
0.0047 0.0047    1905.8450 4.343436e+01  64.702310  69.708108  72.938831
0.0048 0.0047    1894.6160 4.370201e+01  64.526706  69.565565  72.724291
0.0049 0.0047    1882.7910 4.395845e+01  64.358716  69.426200  72.516832
0.0050 0.0047    1870.4120 4.420456e+01  64.197166  69.289590  72.315035
0.0051 0.0047    1857.5190 4.444059e+01  64.042074  69.155906  72.116190
0.0052 0.0047    1844.1500 4.466689e+01  63.894099  69.025031  71.924721
0.0053 0.0047    1830.3410 4.488463e+01  63.751379  68.897399  71.739892
0.0054 0.0047    1816.1260 4.509298e+01  63.615916  68.773318  71.559093
0.0055 0.0047    1801.5400 4.529415e+01  63.486163  68.651240  71.382826
0.0056 0.0047    1786.6130 4.548732e+01  63.361869  68.532895  71.211984
0.0057 0.0047    1771.3750 4.567288e+01  63.243075  68.417460  71.047210
0.0058 0.0047    1755.8560 4.585246e+01  63.129897  68.304588  70.888706
0.0059 0.0047    1740.0820 4.602340e+01  63.023045  68.194353  70.734790
0.0060 0.0047    1724.0790 4.619109e+01  62.920010  68.088578  70.572267
0.0061 0.0047    1707.8710 4.635037e+01  62.821766  67.984990  70.428001
0.0062 0.0047    1691.4820 4.650462e+01  62.727490  67.884282  70.286362
0.0063 0.0047    1674.9330 4.665266e+01  62.639848  67.785881  70.151648
0.0064 0.0047    1658.2450 4.679575e+01  62.555567  67.689770  70.021416
0.0065 0.0047    1641.4390 4.693286e+01  62.475099  67.597159  69.907717
0.0066 0.0047    1624.5320 4.706530e+01  62.399639  67.507720  69.786652
0.0067 0.0047    1607.5430 4.719403e+01  62.327746  67.420007  69.667358
0.0068 0.0047    1590.4880 4.731823e+01  62.259794  67.335974  69.557176
0.0069 0.0047    1573.3820 4.743854e+01  62.195281  67.253605  69.443642
0.0070 0.0047    1556.2420 4.755399e+01  62.134726  67.174210  69.337728
0.0071 0.0047    1539.0810 4.766699e+01  62.077377  67.097445  69.234032
0.0072 0.0047    1521.9110 4.777569e+01  62.022889  67.023208  69.136891
0.0073 0.0047    1504.7470 4.788098e+01  61.971374  66.950234  69.040531
0.0074 0.0047    1487.6000 4.798450e+01  61.922845  66.882354  68.934818
0.0075 0.0047    1470.4810 4.808327e+01  61.878330  66.814974  68.844568
0.0076 0.0047    1453.4000 4.817882e+01  61.836605  66.750194  68.758010
0.0077 0.0047    1436.3680 4.826827e+01  61.798779  66.686836  68.689266
0.0078 0.0047    1419.3940 4.835749e+01  61.762133  66.626985  68.611457
0.0079 0.0047    1402.4860 4.844430e+01  61.728660  66.568271  68.533972
0.0080 0.0047    1385.6530 4.852912e+01  61.697695  66.512053  68.459935
0.0081 0.0047    1368.9030 4.860997e+01  61.669666  66.458529  68.391787
0.0082 0.0047    1352.2420 4.868960e+01  61.643144  66.406332  68.321697
0.0083 0.0047    1335.6780 4.876641e+01  61.619273  66.357386  68.258944
0.0084 0.0047    1319.2160 4.884135e+01  61.597512  66.309549  68.195493
0.0085 0.0047    1302.8630 4.891468e+01  61.578618  66.264409  68.132449
0.0086 0.0047    1286.6250 4.898482e+01  61.561858  66.220546  68.076007
0.0087 0.0047    1270.5050 4.905283e+01  61.545355  66.177876  68.017861
0.0088 0.0047    1254.5080 4.912011e+01  61.531631  66.137882  67.967311
0.0089 0.0047       0.0000 4.918560e+01  61.518757  66.099114  67.916386
0.0090 0.0047       0.0000 4.924878e+01  61.508667  66.062813  67.868549
0.0091 0.0047       0.0000 4.931055e+01  61.500180  66.028054  67.821256
0.0092 0.0047       0.0000 4.937114e+01  61.492863  65.995019  67.775872
0.0093 0.0047       0.0000 4.942960e+01  61.487757  65.964228  67.734667
0.0094 0.0047       0.0000 4.948796e+01  61.484052  65.933696  67.688123
0.0095 0.0047       0.0000 4.954310e+01  61.481898  65.906063  67.651291
0.0096 0.0047       0.0000 4.959910e+01  61.481874  65.879254  67.619188
0.0097 0.0047       0.0000 4.965108e+01  61.482113  65.855101  67.577794
0.0098 0.0047       0.0000 4.970316e+01  61.484302  65.831833  67.545399
0.0099 0.0047       0.0000 4.975433e+01  61.487779  65.810190  67.508929
0.0100 0.0047       0.0000 4.980476e+01  61.492190  65.789391  67.476790
0.0000 0.0048    1452.9330 5.317540e-14  51.615032  51.614561  55.294433
0.0001 0.0048    1453.9800 1.586875e+00  78.872950  78.727224  88.373875
0.0002 0.0048    1457.1080 3.241697e+00  78.865321  78.597827  88.048872
0.0003 0.0048    1462.2790 4.929935e+00  78.795937  78.446478  87.727495
0.0004 0.0048    1469.4300 6.635011e+00  78.674265  78.272710  87.390759
0.0005 0.0048    1478.4750 8.335431e+00  78.500983  78.083875  87.045083
0.0006 0.0048    1489.3040 1.001728e+01  78.283646  77.887013  86.691658
0.0007 0.0048    1501.7890 1.166935e+01  78.026692  77.681259  86.334912
0.0008 0.0048    1515.7850 1.328222e+01  77.736303  77.471506  85.972479
0.0009 0.0048    1531.1300 1.484989e+01  77.415040  77.256635  85.597327
0.0010 0.0048    1547.6520 1.636726e+01  77.069077  77.038832  85.220660
0.0011 0.0048    1565.1690 1.783008e+01  76.702479  76.818543  84.842940
0.0012 0.0048    1583.4910 1.923682e+01  76.318669  76.598900  84.454514
0.0013 0.0048    1602.4300 2.058651e+01  75.920808  76.374698  84.066990
0.0014 0.0048    1621.7920 2.187874e+01  75.512742  76.152660  83.693622
0.0015 0.0048    1641.3900 2.311433e+01  75.096950  75.928153  83.317275
0.0016 0.0048    1661.0390 2.429508e+01  74.677133  75.706010  82.934475
0.0017 0.0048    1680.5650 2.542181e+01  74.255676  75.483298  82.546923
0.0018 0.0048    1699.7990 2.649610e+01  73.834568  75.262494  82.164660
0.0019 0.0048    1718.5870 2.751960e+01  73.415622  75.042998  81.790095
0.0020 0.0048    1736.7870 2.849555e+01  72.999294  74.824772  81.408946
0.0021 0.0048    1754.2670 2.942550e+01  72.587987  74.607517  81.035708
0.0022 0.0048    1770.9150 3.031053e+01  72.182775  74.393835  80.666990
0.0023 0.0048    1786.6280 3.115389e+01  71.785187  74.181097  80.303897
0.0024 0.0048    1801.3210 3.195679e+01  71.393677  73.970922  79.941823
0.0025 0.0048    1814.9230 3.272215e+01  71.010949  73.763165  79.584523
0.0026 0.0048    1827.3760 3.345215e+01  70.634772  73.559162  79.224587
0.0027 0.0048    1838.6370 3.414591e+01  70.272478  73.355728  78.885843
0.0028 0.0048    1848.6740 3.480821e+01  69.917251  73.155409  78.541287
0.0029 0.0048    1857.4670 3.543976e+01  69.571670  72.957588  78.210601
0.0030 0.0048    1865.0100 3.604185e+01  69.237264  72.762963  77.878131
0.0031 0.0048    1871.3010 3.661573e+01  68.910590  72.570486  77.556990
0.0032 0.0048    1876.3510 3.716361e+01  68.595574  72.381201  77.243379
0.0033 0.0048    1880.1770 3.768647e+01  68.288965  72.195743  76.933866
0.0034 0.0048    1882.8040 3.818669e+01  67.991765  72.011585  76.623859
0.0035 0.0048    1884.2590 3.866406e+01  67.705203  71.832453  76.328504
0.0036 0.0048    1884.5780 3.911894e+01  67.428507  71.654616  76.036760
0.0037 0.0048    1883.7980 3.955468e+01  67.160315  71.480120  75.750448
0.0038 0.0048    1881.9590 3.997096e+01  66.902558  71.308668  75.476722
0.0039 0.0048    1879.1030 4.036973e+01  66.653343  71.140465  75.206271
0.0040 0.0048    1875.2760 4.075097e+01  66.413335  70.974373  74.938606
0.0041 0.0048    1870.5220 4.111582e+01  66.182075  70.811858  74.678582
0.0042 0.0048    1864.8850 4.146490e+01  65.959594  70.652684  74.426471
0.0043 0.0048    1858.4130 4.179941e+01  65.744495  70.495605  74.182177
0.0044 0.0048    1851.1490 4.211987e+01  65.538336  70.341914  73.945592
0.0045 0.0048    1843.1380 4.242751e+01  65.339894  70.190780  73.707876
0.0046 0.0048    1834.4250 4.272215e+01  65.148551  70.043805  73.479604
0.0047 0.0048    1825.0510 4.300420e+01  64.965298  69.899790  73.261697
0.0048 0.0048    1815.0570 4.327575e+01  64.787410  69.758078  73.038310
0.0049 0.0048    1804.4850 4.353522e+01  64.619994  69.619376  72.834895
0.0050 0.0048    1793.3710 4.378514e+01  64.457621  69.483707  72.631141
