     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0009 0.0001  117103.3000 5.989591e+01 103.380745  93.558346  93.420797
0.0010 0.0001   99271.3100 6.042100e+01  98.390481  89.878750  89.432992
0.0011 0.0001   85571.5900 6.090137e+01  94.118205  86.823970  86.139203
0.0012 0.0001   74782.4200 6.134367e+01  90.409159  84.245114  83.336699
0.0013 0.0001   66106.6000 6.172626e+01  87.152293  82.026599  80.938375
0.0014 0.0001   59006.4000 6.205405e+01  84.263982  80.106021  78.868539
0.0015 0.0001   53107.6500 6.233867e+01  81.697966  78.420882  77.079141
0.0016 0.0001   48142.9500 6.258094e+01  79.395489  76.933458  75.518258
0.0017 0.0001   43916.1600 6.279184e+01  77.326474  75.617133  74.121716
0.0018 0.0001   40279.8900 6.297694e+01  75.457613  74.444176  72.884041
0.0019 0.0001   37122.6500 6.313317e+01  73.763401  73.388386  71.781980
0.0020 0.0001   34358.8600 6.326274e+01  72.218916  72.434238  70.798877
0.0021 0.0001   31921.8100 6.336101e+01  70.813882  71.566714  69.914488
0.0022 0.0001   29758.7900 6.343414e+01  69.533705  70.773680  69.110135
0.0023 0.0001   27827.6800 6.348474e+01  68.359177  70.047365  68.386042
0.0024 0.0001   26094.4100 6.352031e+01  67.282729  69.381000  67.728370
0.0025 0.0001   24531.1600 6.353938e+01  66.294433  68.767247  67.114000
0.0026 0.0001   23114.9400 6.354562e+01  65.387767  68.200253  66.563501
0.0027 0.0001   21826.3300 6.353870e+01  64.554832  67.676310  66.057640
0.0028 0.0001   20649.0600 6.351888e+01  63.789286  67.190126  65.595006
0.0029 0.0001   19569.5300 6.349233e+01  63.082108  66.738857  65.158255
0.0030 0.0001   18576.2600 6.345399e+01  62.431984  66.319544  64.765055
0.0031 0.0001   17659.5100 6.340847e+01  61.833818  65.930702  64.399608
0.0032 0.0001   16810.9600 6.335646e+01  61.282129  65.565803  64.071132
0.0033 0.0001   16023.4500 6.329772e+01  60.772112  65.224579  63.763560
0.0034 0.0001   15290.8100 6.323379e+01  60.301601  64.904865  63.476758
0.0035 0.0001   14607.6700 6.316397e+01  59.867280  64.604778  63.216765
0.0036 0.0001   13969.3400 6.308770e+01  59.466487  64.322429  62.979780
0.0037 0.0001   13371.7000 6.300711e+01  59.096548  64.057176  62.759966
0.0038 0.0001   12811.1400 6.292191e+01  58.754954  63.806930  62.551219
0.0039 0.0001   12284.4500 6.283374e+01  58.439926  63.569989  62.354814
0.0040 0.0001   11788.8000 6.274187e+01  58.149031  63.347095  62.175636
0.0041 0.0001   11321.6500 6.264688e+01  57.880459  63.136049  62.009503
0.0042 0.0001   10880.7500 6.255063e+01  57.633248  62.937104  61.853718
0.0043 0.0001   10464.0800 6.245265e+01  57.405113  62.749919  61.707941
0.0044 0.0001   10069.8100 6.235321e+01  57.194849  62.573034  61.569165
0.0045 0.0001    9696.3090 6.225166e+01  57.004580  62.406772  61.449672
0.0046 0.0001    9342.0850 6.214985e+01  56.826589  62.249020  61.337147
0.0047 0.0001    9005.7900 6.204626e+01  56.664840  62.100392  61.229597
0.0048 0.0001    8686.1970 6.194308e+01  56.517412  61.960240  61.131353
0.0049 0.0001    8382.1880 6.183968e+01  56.382803  61.828402  61.042377
0.0050 0.0001    8092.7420 6.173711e+01  56.259154  61.703750  60.958747
0.0051 0.0001    7816.9240 6.163381e+01  56.148399  61.587087  60.882423
0.0052 0.0001    7553.8760 6.153019e+01  56.048558  61.477434  60.812062
0.0053 0.0001    7302.8110 6.142579e+01  55.959010  61.373662  60.750025
0.0054 0.0001    7063.0020 6.132315e+01  55.877386  61.276221  60.691365
0.0055 0.0001    6833.7810 6.122032e+01  55.805137  61.183812  60.639505
0.0056 0.0001    6614.5290 6.111873e+01  55.740756  61.098492  60.592694
