l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
9,-6,-5.22421706545759,3.460914502712219,-0.30706784188206654,2.59745252584225,-5.13018525,3.3496643648025013,-0.33248134500000004,2.5481841430419516
10,-6,-5.318133844105842,3.4167278697184384,-0.2642548359433266,2.568166809168837,-5.13674975,3.3803224409972583,-0.26648904,2.6059870133118026
-10,-5,-5.003088432310356,3.5225735795190145,-0.6172485461723047,2.6780105011960886,-5.6351863,3.932025862562984,-0.447967,2.584754609613472
-9,-5,-5.225330907793407,3.556045204912191,-0.5198453032693002,3.109064413990205,-5.9584123,3.4190146088821978,-0.4554916,2.3357343982376535
-8,-5,-5.197903037607794,3.4926103299140214,-0.4957144757479579,2.7096409783622395,-5.70656645,3.509084095544453,-0.42365441000000004,2.4217437119848175
-7,-5,-5.516538268076392,3.6445097510421536,-0.4617342916763061,2.793316837438043,-6.13390695,3.2367570417130014,-0.373061615,2.4066604929336406
-6,-5,-5.637644886272646,3.5482206218244206,-0.42118881044205503,2.7252320259519625,-6.0662404,3.255326210467791,-0.37683024,2.4764489373192196
-5,-5,-5.660068955012978,3.752025543830725,-0.42529971564527647,2.7578186515172796,-6.2196074,3.09028192197429,-0.33275208,2.4784861326801146
-4,-5,-5.638697732542204,3.6342662478368055,-0.4746647587179667,2.869246355330954,-6.0947705,3.123480131445753,-0.30840108,2.5543377846519526
-3,-5,-5.653070176293887,3.746672595340002,-0.44543833580852316,2.918037020547675,-6.04636745,3.1392496370156877,-0.307928795,2.605805110370149
-2,-5,-5.423229836991874,3.602058314520366,-0.4833157401774386,3.0659361000767453,-5.7115634,3.2907400824573183,-0.366351765,2.6826265298610115
-1,-5,-5.344106198717833,3.8357022283071625,-0.4813580728220317,3.4205026044546134,-5.8777001,3.166939595639102,-0.324927725,2.6758910638286597
0,-5,-5.335631414305164,3.5687404629603465,-0.46601201498730715,3.190429005057592,-5.8177105,3.139938132758278,-0.31153526,2.64074161358236
1,-5,-5.321579086641254,3.7020457157007534,-0.42059588015582117,3.1010623817367184,-5.8082876,3.090042353378244,-0.30504784,2.623326277573192
2,-5,-5.335020813403034,3.5623618099831025,-0.3784085772421706,2.9554588546314666,-5.7765116,3.0522156378463134,-0.31098844,2.636893977311462
3,-5,-5.32195644140848,3.627872686160177,-0.31749533179469347,2.993629346729555,-5.7865391,2.9046900271525002,-0.27310768,2.5695905250060913
4,-5,-5.354677843539529,3.4476484105286924,-0.3306176095895595,2.70822311802141,-5.7164003,2.9474623624185567,-0.25942931,2.5325667587784118
5,-5,-5.4161502883498756,3.513122061296422,-0.2475257711174828,2.7472851997705994,-5.5232298,2.9344465815725287,-0.25015093,2.5050727533260355
6,-5,-5.413248292730158,3.38731632070228,-0.27691795613107806,2.7195350039632777,-5.42842425,3.095331585237116,-0.29049051000000004,2.5166750267174036
7,-5,-5.417905224964447,3.5022854241990506,-0.32495850287468186,2.616680679009666,-5.4047435,3.2742353756616667,-0.26157898,2.4992474060453085
8,-5,-5.338165440200684,3.5053054314678413,-0.32010442708078496,2.846541707445065,-5.2523311,3.16923570679475,-0.26841996,2.4693995632972063
9,-5,-5.322246750359276,3.5893027234816155,-0.2679257322644758,2.6220055324339686,-5.1221906,3.226971418191525,-0.26620752999999997,2.560814813951153
10,-5,-5.258811046238509,3.4949797084239482,-0.25802811412567683,2.5945736080807738,-5.05914205,3.2513393299642064,-0.289478565,2.4784891021378654
-10,-4,-4.540292137226713,3.541368788316525,-0.5963942018189989,2.599648739859755,-4.252290650000001,4.538759806832909,-0.559793785,2.775419045962798
-9,-4,-4.807308159676861,3.8858776806526274,-0.5945880116927378,2.6095566201587954,-4.8227985,4.494417859919266,-0.63310921,2.6922199763940857
-8,-4,-4.960409461360523,3.5703378183774186,-0.47800960055317065,2.656775974679407,-5.0199783,3.7894554647210903,-0.50020984,2.4426922690157875
-7,-4,-5.235041376857289,3.7326600321039156,-0.40210551270842504,2.767329057726789,-5.3761434,3.566757148701382,-0.42873891,2.4208821663232873
-6,-4,-5.507412932315534,3.727280574247223,-0.431866356346876,3.0349019500209855,-5.8526687,3.1924681124586742,-0.36952279,2.398884971000578
-5,-4,-5.577265642132705,3.8325441679937193,-0.4242888505860245,2.7699859349297578,-5.9192014,3.274388667723006,-0.35588191,2.557783959398156
-4,-4,-5.593085401397605,3.7669005394386432,-0.3513405335868794,2.939116776984688,-6.1236194,3.041759932152561,-0.32015847,2.551242702739251
-3,-4,-5.5531353101760255,4.0366035482597935,-0.4392397111970684,3.041624349854596,-5.8009806,3.3270889333135427,-0.31856284,2.626944979849111
-2,-4,-5.495961128780268,3.911643938910965,-0.4433562155414634,3.3090960490980508,-5.644952399999999,3.4110597318513465,-0.381243405,2.671825331894833
-1,-4,-5.506981651257853,3.8656733384901707,-0.4119839095269503,3.1501639263541534,-5.6101539,3.5006460818016474,-0.35971555499999996,2.682631861034587
0,-4,-5.388126215164757,4.060176596538313,-0.3902999130111367,3.529654355781139,-5.5555328,3.3237025814136962,-0.33371989,2.6875742442359467
1,-4,-5.201665090645365,3.7644337392029157,-0.630207621729646,3.161565646178442,-5.7769038,3.033906822603385,-0.291065865,2.6754072449915083
2,-4,-5.274434338188485,3.722692592411355,-0.4126470337873128,3.11905266111452,-5.77426925,3.1525785790844965,-0.276300015,2.6667887745115575
3,-4,-5.251214405337252,4.01843468713736,-0.391671916679114,2.966489855756364,-5.5909107,3.0888462548432134,-0.275611815,2.6069288455423774
4,-4,-5.251441719779268,3.683692528655557,-0.3783169063812347,2.929326526960055,-5.590458,3.0433112810749976,-0.266619285,2.56591249243576
5,-4,-5.325488173349129,3.701161551812779,-0.3340921296866916,2.8825019890437975,-5.5262469,3.006002984235409,-0.28064286,2.52554439972108
