l,b,gaia_median,gaia_std,synth_median,synth_std
-10,-2,-0.5298907422699837,2.31346076365732,-0.601878915,2.668511954807453
-9,-2,-0.5788039999955892,2.3847241696173773,-0.575537275,2.678903195327109
-8,-2,-0.4401496836687467,2.088655319462088,-0.483793205,2.191778230887145
-7,-2,-0.425789395294464,2.3218600865924404,-0.47106129,2.3795891142843697
-6,-2,-0.3453422877458365,2.215030970655381,-0.414964745,2.19356608194843
-5,-2,-0.3910090987748995,2.488126002486734,-0.39575799,2.299825915391554
-4,-2,-0.4518727725472528,2.720691302540967,-0.44780943,2.525628429242036
-3,-2,-0.5735055015109886,2.9799884454746417,-0.7061609950000001,3.1751380432123506
-2,-2,-0.9581979504474148,3.770304099678632,-0.961235525,4.180029624864266
-1,-2,-0.3895981830162409,3.009450855218512,-0.35463566,2.643445696322839
0,-2,-0.4079730317131075,3.235218414219927,-0.29945846,2.6988982548067804
1,-2,-0.406095267521485,3.3299483571982287,-0.315153395,2.636920586328678
2,-2,-0.406651573160002,3.271007605185704,-0.31324719,2.66410631777509
3,-2,-0.3590893276073484,2.9559082304871587,-0.3123812,2.5207416428782072
4,-2,-0.3403188443292914,2.7195073521023523,-0.392882555,2.550914478231268
5,-2,-0.5102524515888728,2.785393743772205,-0.44920871,2.569846632612191
6,-2,-0.5008516291355112,2.572992777208869,-0.51474424,2.589876814270956
7,-2,-0.4280736004724024,2.829908715310289,-0.57666965,3.195995067705818
8,-2,-0.3896739986204326,2.550324978769316,-0.4576541,2.7668302462933174
9,-2,-0.3463663421931516,2.372742683152385,-0.39415635,2.3144940477603444
10,-2,-0.3727446282415593,2.300618386625714,-0.44890423,2.4324397176812846
-10,-1,-1.1045624190397645,3.151439534363703,-0.73929998,3.15144525934189
-9,-1,-1.023666005306514,3.209501284440123,-0.74032771,3.215963623758605
-8,-1,-0.8608989731100565,2.936870369049669,-0.75123221,3.2414029033344134
-7,-1,-0.699076283751604,2.599504278080236,-0.65394352,2.8559721482766003
-6,-1,-0.5765239018399674,2.2515972652898064,-0.53715158,2.3238042094578217
-5,-1,-0.462178740347015,2.289045866765696,-0.465372535,2.3446646964589832
-4,-1,-0.670896592676303,2.834259617551034,-0.55629888,2.614923325949487
-3,-1,-0.97755865212718,3.24778648678436,-0.65976218,3.0429505617523653
-2,-1,-0.8241075400971687,3.085749248128693,-0.661210745,3.2054682755867585
-1,-1,-0.8517884961242614,2.7343764729513187,-0.7188251,2.9612226948460147
0,-1,-0.630939040980495,2.6376296019699605,-0.53452617,2.4743060064749733
1,-1,-0.5280178719939197,2.7788346621104814,-0.442881435,2.544754233942613
2,-1,-0.6021288487534131,2.8514085494121404,-0.512542045,2.374735562660748
3,-1,-0.5798418495385489,2.647242568866357,-0.57153174,3.1866491014190674
4,-1,-0.6252654450109523,2.890621234002756,-0.62880514,2.7041891107536093
5,-1,-0.6061843354009057,2.42303811516235,-0.593702755,2.5995272554841065
6,-1,-0.8469440414360367,2.367181460321869,-0.632426885,4.074245853739769
7,-1,-0.6618563872361661,2.220944097409776,-0.5517332,2.5397507566352693
8,-1,-0.5698957545603263,2.304663588853384,-0.59864345,3.2243523519978514
9,-1,-0.5381157378647698,2.133864500499008,-0.57441217,2.4023237411000387
10,-1,-0.6582615453991555,2.36640922653049,-0.612939295,3.0606863983136985
-10,0,-0.8278506657045894,2.679087927132256,-0.4601461,2.2538928835605185
-9,0,-0.7832589259675035,3.0582515129254157,-0.50852412,2.5805609566386702
-8,0,-0.8773198632699639,3.755903863355026,-0.68509199,3.2462939690767367
-7,0,-0.9245465199909724,4.896783544640432,-0.60628573,3.02416318713986
-6,0,-0.6441846922909049,2.426613680366639,-0.47931886,2.31953508382501
-5,0,-0.5452298412087988,1.9673358537728105,-0.47210275,2.2151747706394858
-4,0,-0.6601438640214823,2.584916729366186,-0.53571611,2.301627162125629
-3,0,-0.8697622583679987,3.2941540898504784,-0.637689425,3.1950036417230256
-2,0,-0.9012006801026382,4.44543880432242,-0.581249565,2.6131375516384203
-1,0,-0.9279288962721616,4.812910935836917,-0.6259199449999999,3.120302145437865
0,0,-1.033025765329634,3.1766408382262328,-0.663412695,3.213090077056611
1,0,-0.7002935897683642,2.570939233999126,-0.61489115,2.722306823187989
2,0,-0.7860731562530748,3.045917356368485,-0.615289855,2.7377160299492838
3,0,-0.865498572259154,3.099797909693367,-0.56530147,2.662522902546601
4,0,-0.7742511000694619,3.284311357452635,-0.51591106,2.713141595854136
5,0,-0.8783958167791271,3.4578165035916,-0.54393846,2.709381080137332
6,0,-0.7339612723734915,2.632312522279538,-0.47451235,2.277867546883859
7,0,-0.7602133428026191,3.0619930754180964,-0.53817465,2.320280788016189
8,0,-0.6341524235810181,2.3268296311466026,-0.510019495,2.367211554320762
9,0,-0.6385806091802798,1.9836412892882824,-0.49121898,2.449647228371205
10,0,-0.69153575235618,2.9089949164934708,-0.555585565,2.686593058681201
-10,1,-0.4576000939917422,4.8736847525582565,-0.60494245,3.2969461157259072
-9,1,-0.7925271421597935,3.135482387048962,-0.685844805,3.61550841545703
-8,1,-0.6561797346093018,3.0943996626921484,-0.63629208,3.426366442075169
-7,1,-0.9743370613095574,4.206623256134597,-0.6863445349999999,3.5605194792963912
-6,1,-0.2456801160612322,2.340916229998563,-0.48555935,2.441985938626567
-5,1,-0.4796244755201703,2.788017418429755,-0.67683805,2.8784610870737786
-4,1,-0.5012749287602454,2.5567255608781934,-0.584018935,2.578700598971351
-3,1,-0.4304951212326071,2.694989587112677,-0.435532115,2.3396057274476267
-2,1,-0.3156734137975816,2.7879680192542557,-0.476116475,2.5825922458542645
-1,1,-0.3453286050933651,3.021508635738827,-0.466947145,2.4862814577890786
0,1,-0.2706088653803039,3.2506440528386635,-0.43796063,2.6305056373302045
1,1,-0.2776460622771241,3.093646345916099,-0.46905672,2.619612930848643
2,1,-0.4000445119251036,3.029414849720671,-0.43442983,2.4902390799699803
3,1,-0.9233228798817502,3.69561210674588,-0.63066229,2.6546235707926287
