l,b,gaia_median,gaia_std,synth_median,synth_std
-1,-2,-5.470510360681659,4.219316863471644,-5.273169803435806,3.6108130626157506
0,-2,-5.385690344539995,3.8450281409580542,-5.341579012093295,3.766439395767113
1,-2,-5.468278061773204,4.002465619755032,-5.238471558016547,3.4641413983469436
2,-2,-5.237865336324053,3.9474484439171573,-5.002131652577813,3.666114182096604
3,-2,-5.016363714841529,3.843147030116,-4.85493953650446,3.6561495714447894
4,-2,-4.568903524425696,3.7831500150789013,-4.427273357850691,3.902296629849086
5,-2,-3.9878789225866047,3.9254163942151488,-3.735648488185338,3.736412097882988
6,-2,-4.248810754325864,4.135370070608044,-3.4653693722233925,4.219688241611246
7,-2,-4.115224937237496,4.0730977239697435,-2.908083906016878,4.795904389388922
8,-2,-4.1939018710199365,4.089127503057459,-3.412901054777416,5.331913917654737
9,-2,-4.001414570826391,3.637513135414606,-3.5281619971683926,3.7672075547510993
10,-2,-3.8300620238121414,3.636162160641613,-3.244794551502641,3.7004682377314144
-10,-1,-2.6854347708546578,4.808050118229925,-2.5106241171945687,5.955088894928177
-9,-1,-2.890640947796056,4.917928060789584,-2.4035294376023213,7.110433243908868
-8,-1,-2.8069551507040735,4.9056843148898555,-2.423683955840024,6.29315058695276
-7,-1,-2.714540493589949,4.381864117445056,-2.4311811907484575,4.814115239230502
-6,-1,-3.3114289981215483,3.3289418698012616,-2.595513374756572,4.468672733169425
-5,-1,-4.692767166409666,3.443707671833973,-2.9245409609348556,4.008826661197813
-4,-1,-3.8241943675932104,4.249697782024218,-2.466322178489856,4.162340644814803
-3,-1,-3.1818423354578007,4.903843457794216,-2.152845668429162,4.9751916518633745
-2,-1,-2.438043906685026,5.745607173311933,-2.0630361602490264,5.259511837838479
-1,-1,-1.9438369919338787,4.093093508879224,-1.9825635345564354,5.712690990574973
0,-1,-2.922762461261665,3.6175194568218427,-2.2653546424047377,3.8707188400058157
1,-1,-3.635321941049702,3.969115974908341,-3.144384175369624,4.691650343830816
2,-1,-2.8565441226718242,3.83806218331614,-2.547754761768985,3.810568668497355
3,-1,-2.500228457865382,4.297320992765343,-2.1621664710021222,4.515807948805215
4,-1,-2.3933662395936888,4.448506179019188,-2.0237626143918472,4.914385817329528
5,-1,-2.428473112408958,3.7432606241281348,-2.2353771259133275,3.92292143382328
6,-1,-1.8027100723601786,3.8262193670654105,-2.0058183527699907,7.03946019232536
7,-1,-2.2575301593354515,3.367521203655868,-2.1408103886371586,4.188641196802183
8,-1,-2.260829598730331,3.4546667702030396,-2.097145589953904,5.508000140932438
9,-1,-2.3795820044068563,3.1840325379863637,-2.247726952771876,4.186106654587526
10,-1,-2.264514077467872,3.16346954334065,-2.334551076766572,5.227772147821831
-10,0,-2.819969337994785,4.743842289635416,-2.516893403642879,3.891439905501811
-9,0,-2.8369955304497565,4.523408442014001,-2.4324433285665585,4.641586650919127
-8,0,-2.769361866505813,5.189648723993532,-2.2799164156785783,8.44352137941727
-7,0,-2.7662597112907816,5.897792656186242,-2.2024471621442965,6.786062805682292
-6,0,-2.6363153055912343,3.3769098463204457,-2.2571069470540355,3.7869007415285827
-5,0,-2.6300284332750685,3.3050917575554104,-2.2274217776929235,3.8604763392847543
-4,0,-2.426118417582284,3.9200708013260823,-2.111502563853569,3.854421585003188
-3,0,-2.4631512967511546,5.1686290108852555,-2.0385922057059176,6.293931519405598
-2,0,-2.318061528666568,5.9729423420012635,-2.0875072647975954,5.542395737807287
-1,0,-2.3349382109144035,7.237410053750305,-1.993354809764166,5.150186322358071
0,0,-2.267424878530609,4.578055668903376,-1.9359510362537176,5.7055205949143595
1,0,-2.3190666371890485,3.8231661328714406,-1.916480039553011,4.612741561188313
2,0,-2.2102771017596785,5.215473861338083,-1.9194698387985505,5.455884524282299
3,0,-2.131196194757839,4.600556180063548,-1.9224525316568548,4.651614097966462
4,0,-1.9707146371351898,4.563071640075139,-2.0219593601649395,4.5579181952040715
5,0,-2.2004872069136296,4.3867409529703165,-1.967837837402392,4.788006542691843
6,0,-2.116317458092697,4.330888774118621,-2.12178904064305,3.844986396979903
7,0,-1.9885742046474468,3.9325353433678876,-2.103531214701982,4.030284940411635
8,0,-2.122672794278567,3.146390550827905,-2.08909105277474,4.271988783618433
9,0,-2.1499292772674714,3.187762991209953,-2.198103203656416,4.007159928734434
10,0,-2.1990927432084533,3.7588357278965274,-2.0526601162115887,4.921271496421103
-10,1,-3.1445396505202625,8.217501155882971,-2.6224072483730136,6.626575747596157
-9,1,-2.6378151511598427,5.6269143185743244,-2.456149396787061,5.868093354416296
-8,1,-2.8247930760531217,4.821695477828622,-2.539068281449928,4.797227625090624
-7,1,-2.916144524382399,6.394895932686171,-2.4337324305455974,6.756929887424259
-6,1,-3.7888523353318924,3.7832460571761817,-2.6030738827374025,4.1374789133353165
-5,1,-2.4947502508954464,4.957661784322301,-2.4672929433583,5.679997517494436
-4,1,-2.6219925335620045,3.773308510068223,-2.317440121922611,4.736407731249622
-3,1,-3.4709731674868407,3.6963696882793884,-2.694467101164478,3.810863971127091
-2,1,-3.9916381635392626,4.054249022685959,-2.5495903828067004,4.096293607038217
