field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG606.20,266.49,-37.695,-7.457,-4.608,58.6,872.2,9922,147688
BLG606.21,266.295,-37.695,-7.537,-4.476,56.4,786.8,9547,133197
BLG606.22,266.1,-37.695,-7.617,-4.344,67.3,938.4,11393,158853
BLG606.23,265.904,-37.695,-7.698,-4.212,60.5,868.8,10242,147079
BLG606.24,265.709,-37.695,-7.779,-4.08,55.4,773.8,9378,130996
BLG606.25,265.514,-37.695,-7.86,-3.948,51.5,753.6,8718,127576
BLG606.26,266.89,-37.373,-7.017,-4.715,76.7,1093.2,12984,185076
BLG606.27,266.695,-37.373,-7.097,-4.582,78.2,1089.4,13238,184424
BLG606.28,266.499,-37.373,-7.177,-4.449,71.3,993.5,12070,168189
BLG606.29,266.304,-37.373,-7.257,-4.316,65.4,990.3,11071,167647
BLG606.30,266.109,-37.373,-7.338,-4.183,62.5,959.5,10580,162442
BLG606.31,265.914,-37.373,-7.419,-4.051,54.0,751.4,9143,127233
BLG606.32,265.718,-37.373,-7.5,-3.918,47.7,781.4,8073,132251
BLG609.01,265.522,-35.239,-5.763,-2.664,107.8,1740.9,17309,279539
BLG609.02,265.334,-35.239,-5.844,-2.534,104.6,1650.9,16703,263625
BLG609.03,265.146,-35.239,-5.925,-2.403,115.5,1841.3,18439,293966
BLG609.04,264.958,-35.239,-6.006,-2.273,110.0,1716.0,17654,275401
BLG609.05,264.771,-35.239,-6.088,-2.143,107.9,1628.2,17221,259883
BLG609.06,264.583,-35.239,-6.17,-2.014,92.4,1154.7,14754,184389
BLG609.07,264.395,-35.239,-6.252,-1.884,75.4,864.0,12104,138700
BLG609.08,265.701,-34.918,-5.412,-2.62,105.5,1783.0,16940,286299
BLG609.09,265.513,-34.918,-5.493,-2.489,105.9,1743.8,17000,279929
BLG609.10,265.325,-34.918,-5.574,-2.358,102.7,1627.5,16482,261197
BLG609.11,265.137,-34.918,-5.656,-2.227,94.4,1209.8,15150,194166
BLG609.12,264.95,-34.918,-5.738,-2.097,111.2,1686.3,17735,268961
BLG609.13,264.762,-34.918,-5.819,-1.966,100.5,1484.2,16032,236777
BLG609.14,264.574,-34.918,-5.902,-1.836,88.9,998.8,14182,159340
BLG609.15,264.386,-34.918,-5.984,-1.706,91.0,932.5,14517,148763
BLG609.16,264.199,-34.918,-6.067,-1.576,64.4,712.0,10333,114244
BLG609.17,265.701,-34.618,-5.157,-2.463,122.0,1998.0,19594,320908
BLG609.18,265.513,-34.618,-5.239,-2.331,127.5,1989.2,20467,319332
BLG609.19,265.325,-34.618,-5.32,-2.2,116.5,1893.2,18697,303857
BLG609.20,265.137,-34.618,-5.402,-2.069,97.1,1218.7,15587,195641
BLG609.21,264.95,-34.618,-5.484,-1.938,88.8,1081.5,14241,173449
BLG609.22,264.762,-34.618,-5.566,-1.807,63.7,695.6,10225,111666
BLG609.23,264.574,-34.618,-5.649,-1.676,67.7,719.7,10865,115507
BLG609.24,264.386,-34.618,-5.731,-1.546,85.3,900.8,13690,144572
BLG609.25,264.199,-34.618,-5.814,-1.415,69.6,716.1,11173,114957
BLG609.26,265.522,-34.297,-4.961,-2.168,111.0,1667.3,17823,267721
BLG609.27,265.334,-34.297,-5.043,-2.036,123.7,1997.2,19867,320762
BLG609.28,265.146,-34.297,-5.125,-1.905,109.6,1637.0,17598,262848
BLG609.29,264.958,-34.297,-5.208,-1.773,86.5,1062.8,13882,170574
BLG609.30,264.771,-34.297,-5.29,-1.642,56.6,623.4,9086,100076
BLG609.31,264.583,-34.297,-5.373,-1.511,45.0,488.9,7222,78465
BLG609.32,264.395,-34.297,-5.456,-1.38,76.2,748.3,12226,120069
BLG610.01,265.468,-36.47,-6.834,-3.274,56.2,843.1,9417,141285
BLG610.02,265.277,-36.47,-6.915,-3.144,51.0,731.3,8546,122550
BLG610.03,265.086,-36.47,-6.996,-3.013,50.4,692.7,8450,116138
BLG610.04,264.896,-36.47,-7.077,-2.883,59.4,854.3,9959,143231
BLG610.05,264.705,-36.47,-7.159,-2.753,63.5,915.6,10648,153546
BLG610.06,264.515,-36.47,-7.241,-2.624,70.1,1007.2,11758,168947
BLG610.07,264.324,-36.47,-7.323,-2.494,63.5,825.4,10654,138485
BLG610.08,265.65,-36.148,-6.483,-3.23,68.3,1041.7,11450,174648
BLG610.09,265.459,-36.148,-6.564,-3.099,66.4,992.2,11132,166349
BLG610.10,265.268,-36.148,-6.645,-2.968,74.3,1115.3,12456,186987
BLG610.11,265.078,-36.148,-6.727,-2.837,76.4,1097.1,12812,183980
BLG610.12,264.887,-36.148,-6.808,-2.707,70.2,964.9,11772,161810
BLG610.13,264.696,-36.148,-6.89,-2.576,68.6,947.8,11509,159019
BLG610.14,264.506,-36.148,-6.972,-2.446,72.5,1019.7,12163,171082
BLG610.15,264.315,-36.148,-7.055,-2.316,70.5,911.9,11828,152995
BLG610.16,264.124,-36.148,-7.138,-2.186,73.1,955.9,12267,160416
BLG610.17,265.65,-35.849,-6.228,-3.073,76.1,1105.5,12764,185429
BLG610.18,265.459,-35.849,-6.309,-2.941,72.4,1086.5,12143,182242
BLG610.19,265.268,-35.849,-6.391,-2.81,68.1,986.1,11422,165402
BLG610.20,265.078,-35.849,-6.473,-2.679,71.6,972.9,12012,163227
BLG610.21,264.887,-35.849,-6.555,-2.548,79.2,1126.7,13287,189030
BLG610.22,264.696,-35.849,-6.637,-2.417,77.8,1043.7,13056,175148
BLG610.23,264.506,-35.849,-6.719,-2.286,84.3,1157.0,14150,194208
BLG610.24,264.315,-35.849,-6.802,-2.156,88.6,1148.6,14871,192798
BLG610.25,264.124,-35.849,-6.885,-2.025,90.4,1319.0,15177,221445
BLG610.26,265.468,-35.528,-6.032,-2.778,97.5,1588.3,16357,266483
BLG610.27,265.277,-35.528,-6.114,-2.647,101.6,1604.2,17053,269276
BLG610.28,265.086,-35.528,-6.196,-2.515,103.0,1591.5,17288,267136
BLG610.29,264.896,-35.528,-6.278,-2.383,95.1,1518.7,15959,254860
BLG610.30,264.705,-35.528,-6.361,-2.252,99.2,1515.3,16647,254298
BLG610.31,264.515,-35.528,-6.444,-2.121,83.7,1037.4,14046,174091
BLG610.32,264.324,-35.528,-6.527,-1.99,70.2,736.7,11783,123658
BLG611.01,264.408,-27.632,0.179,2.182,74.2,902.3,12306,149654
BLG611.02,264.235,-27.632,0.096,2.312,61.6,741.9,10209,122963
BLG611.03,264.061,-27.632,0.014,2.441,93.9,1246.4,15563,206580
BLG611.04,263.888,-27.632,-0.069,2.571,96.9,1412.4,16056,234037
BLG611.05,263.715,-27.632,-0.152,2.7,89.6,1316.0,14843,218011
BLG611.06,263.541,-27.632,-0.235,2.829,74.8,1009.0,12388,167113
BLG611.07,263.368,-27.632,-0.318,2.958,82.2,1235.5,13610,204577
BLG611.08,264.573,-27.311,0.529,2.23,101.5,1340.5,16830,222284
BLG611.09,264.4,-27.311,0.446,2.36,94.1,1272.4,15592,210843
BLG611.10,264.227,-27.311,0.364,2.49,108.9,1616.7,18045,267895
BLG611.11,264.053,-27.311,0.281,2.62,117.7,1844.6,19489,305443
BLG611.12,263.88,-27.311,0.198,2.75,113.0,1906.0,18702,315458
BLG611.13,263.706,-27.311,0.115,2.879,96.7,1443.8,16000,238902
BLG611.14,263.533,-27.311,0.032,3.009,69.6,925.0,11513,153020
BLG611.15,263.36,-27.311,-0.052,3.139,64.5,892.7,10670,147677
BLG611.16,263.186,-27.311,-0.136,3.268,69.1,1029.2,11428,170218
BLG611.17,264.573,-27.012,0.782,2.389,90.6,1193.1,15016,197752
BLG611.18,264.4,-27.012,0.699,2.52,105.4,1527.8,17461,253106
BLG611.19,264.227,-27.012,0.617,2.65,102.1,1488.6,16902,246437
BLG611.20,264.053,-27.012,0.534,2.781,108.6,1791.2,17974,296463
BLG611.21,263.88,-27.012,0.451,2.911,115.2,1911.0,19053,316067
BLG611.22,263.706,-27.012,0.367,3.041,106.3,1841.3,17572,304392
BLG611.23,263.533,-27.012,0.284,3.171,86.2,1433.4,14250,236961
BLG611.24,263.36,-27.012,0.2,3.301,66.6,968.4,11007,160051
BLG611.25,263.186,-27.012,0.116,3.43,52.8,700.9,8728,115867
BLG611.26,264.408,-26.69,0.975,2.686,72.4,943.3,11986,156166
BLG611.27,264.235,-26.69,0.892,2.816,79.1,1137.9,13082,188204
BLG611.28,264.061,-26.69,0.809,2.947,82.9,1290.5,13708,213391
BLG611.29,263.888,-26.69,0.726,3.078,91.1,1514.1,15060,250306
BLG611.30,263.715,-26.69,0.642,3.208,85.9,1421.4,14197,234924
BLG611.31,263.541,-26.69,0.558,3.339,86.2,1440.1,14243,237957
BLG611.32,263.368,-26.69,0.474,3.469,70.0,1139.1,11563,188175
BLG612.01,263.024,-28.471,-1.188,2.757,96.4,1665.7,15426,266558
BLG612.02,262.849,-28.471,-1.272,2.885,99.6,1720.7,15938,275352
BLG612.03,262.675,-28.471,-1.356,3.014,108.4,1804.8,17342,288741
BLG612.04,262.5,-28.471,-1.441,3.142,106.4,1817.8,17026,290906
BLG612.05,262.325,-28.471,-1.525,3.27,96.2,1594.3,15391,255072
BLG612.06,262.151,-28.471,-1.61,3.399,89.5,1581.6,14319,253040
BLG612.07,261.976,-28.471,-1.695,3.527,89.4,1604.3,14292,256493
BLG612.08,263.191,-28.15,-0.838,2.809,92.0,1486.8,14736,238160
BLG612.09,263.016,-28.15,-0.922,2.938,96.0,1568.0,15377,251174
BLG612.10,262.841,-28.15,-1.007,3.067,96.8,1542.2,15505,247026
BLG612.11,262.667,-28.15,-1.091,3.196,95.1,1687.0,15233,270228
BLG612.12,262.492,-28.15,-1.176,3.325,97.4,1684.9,15598,269828
BLG612.13,262.317,-28.15,-1.26,3.453,81.9,1468.5,13115,235172
BLG612.14,262.142,-28.15,-1.345,3.582,77.5,1398.2,12408,223853
BLG612.15,261.968,-28.15,-1.431,3.71,75.1,1353.1,12021,216588
BLG612.16,261.793,-28.15,-1.516,3.839,74.8,1449.0,11970,231890
BLG612.17,263.191,-27.85,-0.587,2.971,88.7,1508.7,14218,241843
BLG612.18,263.016,-27.85,-0.671,3.101,91.0,1595.6,14583,255712
BLG612.19,262.841,-27.85,-0.756,3.23,83.8,1477.1,13429,236713
BLG612.20,262.667,-27.85,-0.84,3.36,96.9,1752.2,15529,280817
BLG612.21,262.492,-27.85,-0.925,3.489,80.2,1420.2,12859,227720
BLG612.22,262.317,-27.85,-1.01,3.618,70.0,1223.2,11215,195991
BLG612.23,262.142,-27.85,-1.095,3.747,73.4,1302.3,11760,208665
BLG612.24,261.968,-27.85,-1.181,3.876,63.1,1118.2,10110,179168
BLG612.25,261.793,-27.85,-1.267,4.004,62.9,1175.3,10077,188316
BLG612.26,263.024,-27.529,-0.397,3.27,73.3,1227.0,11761,196877
BLG612.27,262.849,-27.529,-0.482,3.4,75.1,1254.2,12050,201233
BLG612.28,262.675,-27.529,-0.567,3.53,75.3,1351.3,12082,216829
BLG612.29,262.5,-27.529,-0.652,3.659,61.3,1061.2,9835,170281
BLG612.30,262.325,-27.529,-0.737,3.789,54.2,923.1,8694,148080
BLG612.31,262.151,-27.529,-0.823,3.918,55.9,992.1,8967,159148
BLG612.32,261.976,-27.529,-0.908,4.047,57.2,1013.9,9175,162645
BLG613.01,263.03,-29.702,-2.217,2.081,103.5,1229.5,16918,200974
BLG613.02,262.853,-29.702,-2.301,2.209,107.2,1332.9,17522,217875
BLG613.03,262.677,-29.702,-2.386,2.338,119.9,1820.2,19594,297450
BLG613.04,262.5,-29.702,-2.47,2.466,135.1,2164.2,22078,353683
BLG613.05,262.323,-29.702,-2.555,2.594,111.5,1677.3,18221,274106
BLG613.06,262.147,-29.702,-2.639,2.722,104.1,1640.6,17012,268100
BLG613.07,261.97,-29.702,-2.724,2.85,111.1,1764.1,18156,288290
BLG613.08,263.199,-29.38,-1.868,2.133,101.2,1215.5,16542,198685
BLG613.09,263.022,-29.38,-1.952,2.262,105.5,1285.5,17240,210077
BLG613.10,262.845,-29.38,-2.036,2.391,84.2,949.0,13760,155086
BLG613.11,262.669,-29.38,-2.121,2.52,75.8,864.1,12387,141212
BLG613.12,262.492,-29.38,-2.205,2.649,101.4,1324.5,16570,216451
BLG613.13,262.315,-29.38,-2.29,2.777,112.1,1855.6,18319,303235
BLG613.14,262.138,-29.38,-2.375,2.906,114.5,1819.7,18707,297296
BLG613.15,261.962,-29.38,-2.46,3.034,107.8,1817.2,17616,296968
BLG613.16,261.785,-29.38,-2.546,3.162,115.0,1972.4,18788,322260
BLG613.17,263.199,-29.081,-1.617,2.296,101.0,1229.7,16509,201006
BLG613.18,263.022,-29.081,-1.701,2.425,84.4,992.7,13796,162266
BLG613.19,262.845,-29.081,-1.785,2.555,73.6,863.5,12027,141114
BLG613.20,262.669,-29.081,-1.87,2.684,91.4,1151.6,14936,188195
BLG613.21,262.492,-29.081,-1.955,2.813,102.0,1653.2,16668,270159
BLG613.22,262.315,-29.081,-2.04,2.942,111.4,1825.5,18205,298325
BLG613.23,262.138,-29.081,-2.125,3.071,120.4,2042.4,19675,333762
BLG613.24,261.962,-29.081,-2.211,3.199,105.6,1832.5,17248,299316
BLG613.25,261.785,-29.081,-2.297,3.328,98.7,1826.2,16121,298286
BLG613.26,263.03,-28.76,-1.427,2.595,84.3,1050.7,13779,171747
BLG613.27,262.853,-28.76,-1.512,2.724,99.1,1593.8,16198,260514
BLG613.28,262.677,-28.76,-1.597,2.854,91.9,1286.0,15018,210159
BLG613.29,262.5,-28.76,-1.682,2.984,97.3,1611.8,15900,263393
BLG613.30,262.323,-28.76,-1.768,3.113,96.7,1681.9,15798,274798
BLG613.31,262.147,-28.76,-1.853,3.242,104.8,1872.6,17122,305947
BLG613.32,261.97,-28.76,-1.939,3.371,93.1,1618.1,15207,264303
BLG614.01,261.64,-29.086,-2.372,3.431,97.8,1873.8,15866,304005
BLG614.02,261.464,-29.086,-2.457,3.558,88.6,1695.0,14377,275048
BLG614.03,261.288,-29.086,-2.543,3.686,95.2,1769.8,15452,287263
BLG614.04,261.112,-29.086,-2.629,3.813,90.9,1635.4,14754,265456
BLG614.05,260.937,-29.086,-2.716,3.94,78.8,1468.5,12793,238423
BLG614.06,260.761,-29.086,-2.802,4.067,71.6,1166.3,11638,189577
BLG614.07,260.585,-29.086,-2.889,4.194,58.1,929.9,9448,151224
BLG614.08,261.807,-28.765,-2.022,3.487,84.4,1585.4,13705,257454
BLG614.09,261.631,-28.765,-2.108,3.615,86.4,1655.4,14037,268957
BLG614.10,261.456,-28.765,-2.194,3.743,78.4,1409.8,12734,228985
BLG614.11,261.28,-28.765,-2.28,3.871,75.4,1408.4,12250,228821
BLG614.12,261.104,-28.765,-2.366,3.999,70.5,1316.1,11459,213926
BLG614.13,260.929,-28.765,-2.453,4.126,58.6,922.3,9522,149881
BLG614.14,260.753,-28.765,-2.54,4.254,55.8,862.8,9074,140311
BLG614.15,260.577,-28.765,-2.627,4.381,52.2,786.2,8493,127916
BLG614.16,260.402,-28.765,-2.714,4.508,46.5,722.3,7565,117519
BLG614.17,261.807,-28.466,-1.773,3.653,85.3,1650.8,13868,268395
BLG614.18,261.631,-28.466,-1.859,3.782,77.5,1507.0,12600,245015
BLG614.19,261.456,-28.466,-1.945,3.91,59.3,846.5,9643,137661
BLG614.20,261.28,-28.466,-2.031,4.038,66.7,1034.6,10849,168291
BLG614.21,261.104,-28.466,-2.118,4.166,61.4,994.8,9987,161817
BLG614.22,260.929,-28.466,-2.205,4.294,62.7,972.6,10206,158318
BLG614.23,260.753,-28.466,-2.292,4.422,60.0,1010.7,9769,164560
BLG614.24,260.577,-28.466,-2.379,4.55,54.1,895.7,8810,145871
BLG614.25,260.402,-28.466,-2.466,4.677,48.7,789.6,7934,128653
BLG614.26,261.64,-28.144,-1.587,3.954,72.5,1461.4,11801,237885
BLG614.27,261.464,-28.144,-1.673,4.083,69.1,1108.0,11250,180402
BLG614.28,261.288,-28.144,-1.76,4.211,72.5,1180.9,11807,192317
BLG614.29,261.112,-28.144,-1.847,4.34,62.1,1065.4,10118,173589
BLG614.30,260.937,-28.144,-1.934,4.468,60.0,1161.3,9778,189260
BLG614.31,260.761,-28.144,-2.021,4.597,66.9,970.3,10900,158095
BLG614.32,260.585,-28.144,-2.108,4.725,52.6,992.8,8574,161830
BLG615.01,261.629,-30.317,-3.401,2.753,77.0,1162.2,12145,183311
BLG615.02,261.451,-30.317,-3.486,2.881,72.0,1135.0,11295,178066
BLG615.03,261.274,-30.317,-3.572,3.008,74.0,1156.9,11751,183715
BLG615.04,261.096,-30.317,-3.658,3.135,71.3,1103.6,11246,174068
BLG615.05,260.918,-30.317,-3.745,3.262,69.0,1099.2,10962,174636
BLG615.06,260.74,-30.317,-3.831,3.389,64.9,1093.0,10311,173651
BLG615.07,260.562,-30.317,-3.918,3.516,56.7,944.0,9014,150087
BLG615.08,261.799,-29.995,-3.052,2.81,111.0,2099.8,17414,329423
BLG615.09,261.621,-29.995,-3.137,2.938,88.4,1504.1,13956,237461
BLG615.10,261.443,-29.995,-3.223,3.066,90.2,1547.0,14144,242586
BLG615.11,261.265,-29.995,-3.31,3.194,104.9,2009.8,16457,315303
BLG615.12,261.088,-29.995,-3.396,3.321,112.3,2255.8,17609,353734
BLG615.13,260.91,-29.995,-3.483,3.449,91.5,1788.9,14355,280655
BLG615.14,260.732,-29.995,-3.569,3.576,69.1,1151.8,10840,180702
BLG615.15,260.554,-29.995,-3.657,3.703,60.8,994.9,9538,156086
BLG615.16,260.376,-29.995,-3.744,3.83,66.6,1251.1,10581,198769
BLG615.17,261.799,-29.696,-2.803,2.976,107.7,2323.5,16888,364350
BLG615.18,261.621,-29.696,-2.889,3.105,93.3,1651.7,14630,259004
BLG615.19,261.443,-29.696,-2.975,3.233,89.9,1511.4,14193,238613
BLG615.20,261.265,-29.696,-3.061,3.361,87.0,1583.6,13642,248325
BLG615.21,261.088,-29.696,-3.148,3.489,93.5,1749.3,14661,274309
BLG615.22,260.91,-29.696,-3.235,3.617,97.1,2043.6,15308,322169
BLG615.23,260.732,-29.696,-3.322,3.745,80.3,1581.5,12591,247996
BLG615.24,260.554,-29.696,-3.409,3.872,72.1,1435.4,11366,226293
BLG615.25,260.376,-29.696,-3.497,4.0,80.7,1814.0,12728,286110
BLG615.26,261.629,-29.375,-2.617,3.278,97.5,2239.9,15289,351240
BLG615.27,261.451,-29.375,-2.704,3.406,102.3,2064.4,16127,325448
BLG615.28,261.274,-29.375,-2.79,3.535,101.8,2102.6,15963,329710
BLG615.29,261.096,-29.375,-2.877,3.663,108.8,2100.5,17269,333397
BLG615.30,260.918,-29.375,-2.964,3.792,101.6,2096.1,15931,328683
BLG615.31,260.74,-29.375,-3.052,3.92,74.9,1546.7,11747,242598
BLG615.32,260.562,-29.375,-3.139,4.048,65.6,1273.2,10284,199602
BLG617.01,259.533,-30.202,-4.33,4.312,65.1,1145.3,10689,188066
BLG617.02,259.355,-30.202,-4.419,4.438,60.5,1050.1,9929,172352
BLG617.03,259.178,-30.202,-4.507,4.564,61.3,1064.2,10058,174624
BLG617.04,259.0,-30.202,-4.596,4.689,63.0,1079.8,10342,177268
BLG617.05,258.822,-30.202,-4.685,4.815,61.0,1067.9,10007,175190
BLG617.06,258.645,-30.202,-4.774,4.94,62.0,1072.0,10171,175862
BLG617.08,259.702,-29.88,-3.982,4.376,71.2,1351.5,11691,221917
BLG617.09,259.525,-29.88,-4.07,4.502,64.2,1112.7,10542,182713
BLG617.10,259.347,-29.88,-4.159,4.629,62.5,1084.6,10262,178098
BLG617.11,259.169,-29.88,-4.248,4.755,63.2,1187.2,10370,194799
BLG617.12,258.992,-29.88,-4.337,4.881,70.3,1260.9,11532,206851
BLG617.17,259.702,-29.581,-3.736,4.547,81.0,1622.8,13310,266656
BLG617.18,259.525,-29.581,-3.824,4.674,75.7,1387.3,12430,227812
BLG617.19,259.347,-29.581,-3.913,4.8,68.6,1203.0,11261,197494
BLG617.20,259.169,-29.581,-4.002,4.927,69.6,1194.6,11426,196115
BLG617.26,259.533,-29.26,-3.556,4.852,69.6,1252.0,11436,205733
BLG617.27,259.355,-29.26,-3.645,4.979,72.4,1308.4,11888,214848
BLG619.01,261.765,-26.471,-0.128,4.789,53.2,921.9,8583,148742
BLG619.02,261.593,-26.471,-0.214,4.917,46.5,778.0,7498,125464
BLG619.08,261.928,-26.15,0.222,4.844,34.4,558.3,5548,90056
BLG619.09,261.757,-26.15,0.137,4.972,39.7,661.3,6400,106619
BLG621.01,264.25,-22.702,4.28,4.935,63.0,1129.2,10662,191117
BLG621.08,264.409,-22.38,4.631,4.982,64.5,1113.5,10906,188282
BLG622.01,264.254,-23.932,3.237,4.276,59.0,1079.5,9662,176787
BLG622.02,264.086,-23.932,3.155,4.406,57.3,1014.0,9381,166021
BLG622.03,263.918,-23.932,3.073,4.536,56.1,1001.9,9185,164040
BLG622.04,263.75,-23.932,2.99,4.666,55.3,989.6,9058,162102
BLG622.05,263.582,-23.932,2.907,4.795,54.1,973.3,8859,159393
BLG622.06,263.414,-23.932,2.824,4.925,58.2,1050.3,9535,172084
BLG622.08,264.415,-23.611,3.588,4.323,45.3,695.5,7425,114007
BLG622.09,264.247,-23.611,3.506,4.454,43.8,680.2,7183,111552
BLG622.10,264.078,-23.611,3.424,4.584,58.3,1013.4,9558,166157
BLG622.11,263.91,-23.611,3.341,4.714,66.5,1152.5,10898,188875
BLG622.12,263.742,-23.611,3.258,4.844,62.1,1103.7,10181,180962
BLG622.13,263.574,-23.611,3.175,4.974,59.1,1039.3,9683,170282
BLG622.17,264.415,-23.312,3.843,4.482,44.8,729.3,7343,119548
BLG622.18,264.247,-23.312,3.76,4.613,40.1,654.9,6573,107352
BLG622.19,264.078,-23.312,3.677,4.744,50.2,894.5,8226,146593
BLG622.20,263.91,-23.312,3.595,4.874,54.9,998.6,8997,163653
BLG622.26,264.254,-22.99,4.037,4.778,49.1,893.6,8044,146411
BLG622.27,264.086,-22.99,3.954,4.909,50.4,926.7,8257,151835
BLG624.01,265.556,-22.086,5.444,4.234,76.0,1384.5,12272,223570
BLG624.02,265.39,-22.086,5.363,4.365,78.1,1357.2,12614,219206
BLG624.03,265.224,-22.086,5.282,4.496,75.9,1288.8,12256,208111
BLG624.04,265.058,-22.086,5.201,4.627,68.1,1094.1,11001,176755
BLG624.05,264.892,-22.086,5.119,4.757,75.1,1214.1,12135,196188
BLG624.06,264.727,-22.086,5.038,4.888,71.9,1192.9,11621,192809
BLG624.08,265.714,-21.765,5.795,4.277,77.9,1304.8,12587,210840
BLG624.09,265.548,-21.765,5.714,4.409,78.9,1255.6,12752,202940
BLG624.10,265.382,-21.765,5.633,4.54,74.3,1205.1,12006,194732
BLG624.11,265.217,-21.765,5.552,4.671,57.8,1001.5,9339,161832
BLG624.12,265.051,-21.765,5.471,4.802,61.5,1059.7,9940,171279
BLG624.13,264.885,-21.765,5.39,4.933,68.0,1111.1,10990,179587
BLG624.17,265.714,-21.466,6.051,4.433,87.5,1383.4,14155,223806
BLG624.18,265.548,-21.466,5.97,4.565,78.6,1309.5,12709,211743
BLG624.19,265.382,-21.466,5.889,4.697,69.5,1125.7,11238,182030
BLG624.20,265.217,-21.466,5.808,4.828,71.0,1122.8,11483,181605
BLG624.21,265.051,-21.466,5.726,4.959,67.6,1097.9,10931,177537
BLG624.26,265.556,-21.144,6.249,4.727,64.4,1062.5,10423,171973
BLG624.27,265.39,-21.144,6.168,4.859,62.9,1049.5,10183,169909
BLG624.28,265.224,-21.144,6.086,4.991,74.1,1123.7,11993,181880
BLG625.01,265.573,-23.317,4.401,3.576,88.0,1613.2,14064,257839
BLG625.02,265.406,-23.317,4.32,3.707,84.4,1431.7,13486,228767
BLG625.03,265.238,-23.317,4.239,3.838,88.9,1467.0,14205,234407
BLG625.04,265.071,-23.317,4.158,3.968,95.5,1665.4,15259,266109
BLG625.05,264.903,-23.317,4.077,4.099,89.4,1529.3,14288,244421
BLG625.06,264.736,-23.317,3.995,4.229,65.7,1179.9,10500,188578
BLG625.07,264.569,-23.317,3.913,4.36,53.4,973.3,8534,155558
BLG625.08,265.733,-22.995,4.752,3.62,78.1,1480.5,12494,236840
BLG625.09,265.565,-22.995,4.672,3.751,81.9,1425.0,13099,227914
BLG625.10,265.398,-22.995,4.591,3.882,77.3,1332.4,12363,213104
BLG625.11,265.23,-22.995,4.509,4.013,60.0,1036.4,9596,165761
BLG625.12,265.063,-22.995,4.428,4.144,55.2,973.2,8826,155617
BLG625.13,264.896,-22.995,4.346,4.275,57.9,1027.1,9258,164236
BLG625.14,264.728,-22.995,4.265,4.406,66.8,1210.3,10681,193530
BLG625.15,264.561,-22.995,4.183,4.536,70.0,1188.7,11193,190076
BLG625.16,264.394,-22.995,4.101,4.667,51.8,971.1,8282,155281
BLG625.17,265.733,-22.696,5.008,3.776,87.9,1600.3,14068,256144
BLG625.18,265.565,-22.696,4.927,3.908,88.0,1434.2,14081,229494
BLG625.19,265.398,-22.696,4.846,4.039,92.8,1473.5,14849,235783
BLG625.20,265.23,-22.696,4.764,4.17,80.3,1400.6,12849,224118
BLG625.21,265.063,-22.696,4.683,4.302,64.5,1119.3,10323,179149
BLG625.22,264.896,-22.696,4.601,4.433,63.9,1116.7,10225,178689
BLG625.23,264.728,-22.696,4.519,4.564,68.0,1210.5,10883,193746
BLG625.24,264.561,-22.696,4.437,4.695,58.7,1026.6,9390,164234
BLG625.25,264.394,-22.696,4.355,4.826,55.7,974.1,8910,155835
BLG625.26,265.573,-22.375,5.205,4.07,74.9,1255.0,11999,201061
BLG625.27,265.406,-22.375,5.124,4.202,75.7,1326.1,12130,212503
BLG625.28,265.238,-22.375,5.042,4.333,72.3,1242.3,11583,199026
BLG625.29,265.071,-22.375,4.961,4.465,67.0,1135.1,10728,181765
BLG625.30,264.903,-22.375,4.879,4.597,70.2,1190.7,11241,190669
BLG625.31,264.736,-22.375,4.797,4.728,71.0,1232.2,11369,197314
BLG625.32,264.569,-22.375,4.715,4.859,64.5,1185.5,10325,189798
BLG626.01,265.59,-24.547,3.36,2.917,92.8,1894.4,15072,307677
BLG626.02,265.421,-24.547,3.279,3.048,96.3,1775.5,15636,288296
BLG626.03,265.252,-24.547,3.198,3.178,92.5,1628.9,15030,264681
BLG626.04,265.083,-24.547,3.117,3.309,79.0,1365.5,12836,221881
BLG626.05,264.914,-24.547,3.036,3.439,88.5,1594.0,14387,259133
BLG626.06,264.745,-24.547,2.954,3.57,91.0,1764.9,14800,287052
BLG626.07,264.577,-24.547,2.872,3.7,86.8,1571.8,14120,255706
BLG626.08,265.751,-24.226,3.711,2.961,109.2,2011.7,17718,326410
BLG626.09,265.582,-24.226,3.63,3.092,111.4,2019.6,18079,327777
BLG626.10,265.413,-24.226,3.549,3.223,108.4,1931.7,17597,313578
BLG626.11,265.244,-24.226,3.468,3.354,93.5,1632.7,15174,264983
BLG626.12,265.075,-24.226,3.387,3.485,82.6,1470.4,13415,238813
BLG626.13,264.907,-24.226,3.305,3.616,92.9,1659.7,15095,269686
BLG626.14,264.738,-24.226,3.223,3.746,76.5,1267.3,12433,205974
BLG626.15,264.569,-24.226,3.141,3.877,87.0,1519.6,14146,247097
BLG626.16,264.4,-24.226,3.059,4.007,66.2,1246.4,10772,202817
BLG626.17,265.751,-23.927,3.966,3.117,109.5,2038.1,17754,330473
BLG626.18,265.582,-23.927,3.885,3.249,96.0,1837.2,15569,297970
BLG626.19,265.413,-23.927,3.804,3.38,84.1,1512.7,13642,245391
BLG626.20,265.244,-23.927,3.723,3.512,89.8,1661.4,14570,269578
BLG626.21,265.075,-23.927,3.641,3.643,83.1,1485.8,13493,241258
BLG626.22,264.907,-23.927,3.559,3.774,79.3,1441.8,12876,234113
