field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG536.32,268.799,-36.143,-5.175,-5.413,73.0,1059.4,12315,178722
BLG539.01,271.447,-36.47,-4.417,-7.436,61.0,664.3,9971,108586
BLG539.02,271.256,-36.47,-4.49,-7.301,58.9,656.7,9630,107370
BLG539.03,271.066,-36.47,-4.564,-7.166,61.0,676.8,9971,110621
BLG539.04,270.875,-36.47,-4.638,-7.032,57.8,688.2,9450,112520
BLG539.05,270.684,-36.47,-4.713,-6.897,61.7,756.2,10083,123588
BLG539.06,270.494,-36.47,-4.787,-6.763,68.0,799.4,10874,127837
BLG539.07,270.303,-36.47,-4.862,-6.629,68.3,850.0,10922,135921
BLG539.08,271.629,-36.148,-4.061,-7.412,69.8,741.5,11403,121147
BLG539.09,271.438,-36.148,-4.135,-7.277,65.6,728.5,10720,119052
BLG539.10,271.247,-36.148,-4.209,-7.141,67.2,744.5,10981,121666
BLG539.11,271.057,-36.148,-4.283,-7.006,72.1,797.8,11785,130408
BLG539.12,270.866,-36.148,-4.358,-6.871,73.3,837.0,11981,136816
BLG539.13,270.675,-36.148,-4.432,-6.736,71.5,838.6,11681,137012
BLG539.14,270.485,-36.148,-4.507,-6.601,76.2,897.2,12449,146595
BLG539.15,270.294,-36.148,-4.582,-6.467,72.9,899.3,11652,143744
BLG539.16,270.104,-36.148,-4.658,-6.332,79.2,993.7,12659,158825
BLG539.17,271.629,-35.849,-3.796,-7.27,69.3,776.2,11319,126794
BLG539.18,271.438,-35.849,-3.87,-7.134,72.9,785.6,11913,128391
BLG539.19,271.247,-35.849,-3.944,-6.998,80.9,856.2,13217,139886
BLG539.20,271.057,-35.849,-4.019,-6.863,79.0,890.0,12910,145444
BLG539.21,270.866,-35.849,-4.094,-6.727,82.4,927.5,13465,151581
BLG539.22,270.675,-35.849,-4.169,-6.592,80.8,956.5,13207,156349
BLG539.23,270.485,-35.849,-4.244,-6.457,80.7,989.0,13185,161577
BLG539.24,270.294,-35.849,-4.319,-6.322,78.1,1004.0,12763,164076
BLG539.25,270.104,-35.849,-4.395,-6.187,87.6,1163.3,14315,190118
BLG539.26,271.447,-35.528,-3.582,-6.987,71.3,843.0,11649,137722
BLG539.27,271.256,-35.528,-3.657,-6.851,80.9,904.5,13220,147822
BLG539.28,271.066,-35.528,-3.731,-6.715,81.0,927.5,13237,151564
BLG539.29,270.875,-35.528,-3.807,-6.579,81.2,954.5,13269,155993
BLG539.30,270.684,-35.528,-3.882,-6.443,84.6,1051.6,13828,171894
BLG539.31,270.494,-35.528,-3.957,-6.307,81.0,1053.0,13234,172050
BLG539.32,270.303,-35.528,-4.033,-6.172,83.4,1108.2,13629,181105
BLG543.01,273.947,-22.933,8.577,-2.906,97.6,1309.0,16050,215272
BLG543.02,273.78,-22.933,8.504,-2.77,78.7,1105.6,12942,181822
BLG543.03,273.613,-22.933,8.431,-2.635,73.9,1031.6,12153,169652
BLG543.04,273.446,-22.933,8.357,-2.5,62.6,850.0,10297,139820
BLG543.05,273.279,-22.933,8.284,-2.365,64.8,868.8,10651,142810
BLG543.06,273.112,-22.933,8.21,-2.23,41.1,457.5,6755,75202
BLG543.07,272.945,-22.933,8.137,-2.095,43.4,458.4,7135,75368
BLG543.08,274.106,-22.612,8.93,-2.882,88.8,1237.2,14607,203513
BLG543.09,273.939,-22.612,8.857,-2.747,80.6,1104.8,13258,181734
BLG543.10,273.772,-22.612,8.784,-2.611,71.0,967.1,11679,159083
BLG543.11,273.605,-22.612,8.71,-2.476,77.8,1046.5,12791,172062
BLG543.12,273.438,-22.612,8.637,-2.34,87.7,1117.7,14419,183768
BLG543.13,273.271,-22.612,8.563,-2.205,93.3,1101.4,15340,181088
BLG543.14,273.104,-22.612,8.489,-2.07,74.3,816.7,12210,134214
BLG543.15,272.937,-22.612,8.415,-1.934,54.9,578.5,9024,95092
BLG543.16,272.77,-22.612,8.341,-1.799,68.8,707.1,11309,116230
BLG543.17,274.106,-22.313,9.194,-2.741,72.9,1044.5,11997,171896
BLG543.18,273.939,-22.313,9.12,-2.605,90.2,1180.6,14840,194248
BLG543.19,273.772,-22.313,9.047,-2.469,90.0,1146.9,14801,188614
BLG543.20,273.605,-22.313,8.973,-2.333,85.4,1056.4,14044,173731
BLG543.21,273.438,-22.313,8.9,-2.197,73.8,834.3,12133,137173
BLG543.22,273.271,-22.313,8.826,-2.062,87.4,1029.3,14370,169234
BLG543.23,273.104,-22.313,8.752,-1.926,84.9,925.3,13955,152098
BLG543.24,272.937,-22.313,8.678,-1.791,72.9,651.3,11980,107033
BLG543.25,272.77,-22.313,8.603,-1.655,53.8,417.0,8843,68545
BLG543.26,273.947,-21.992,9.407,-2.459,93.7,1195.8,15420,196796
BLG543.27,273.78,-21.992,9.333,-2.322,75.9,952.3,12491,156722
BLG543.28,273.613,-21.992,9.26,-2.186,70.7,827.7,11635,136217
BLG543.29,273.446,-21.992,9.186,-2.05,74.2,819.8,12205,134853
BLG543.30,273.279,-21.992,9.112,-1.914,74.0,811.1,12166,133358
BLG543.31,273.112,-21.992,9.038,-1.778,75.6,776.7,12432,127732
BLG543.32,272.945,-21.992,8.963,-1.643,60.7,515.1,9975,84650
BLG544.01,273.951,-24.164,7.494,-3.492,111.4,1432.1,18101,232707
BLG544.02,273.783,-24.164,7.421,-3.357,95.7,1332.4,15550,216515
BLG544.03,273.614,-24.164,7.348,-3.222,75.5,1140.7,12271,185393
BLG544.04,273.446,-24.164,7.274,-3.087,64.1,962.8,10418,156486
BLG544.05,273.277,-24.164,7.201,-2.951,65.0,1066.4,10567,173366
BLG544.06,273.109,-24.164,7.127,-2.816,62.7,969.4,10190,157551
BLG544.07,272.941,-24.164,7.054,-2.682,53.8,692.1,8746,112516
BLG544.08,274.112,-23.843,7.847,-3.47,119.7,1522.9,19464,247637
BLG544.09,273.943,-23.843,7.774,-3.334,114.9,1491.8,18688,242646
