_l_key,_b_key,l_baseline,b_baseline,avg_tau_baseline,eventrate_source_baseline,eventrate_area_baseline,avg_t_baseline,avg_logt_baseline,frac_lowmass_baseline,l_kirkpatrick_min001,b_kirkpatrick_min001,avg_tau_kirkpatrick_min001,eventrate_source_kirkpatrick_min001,eventrate_area_kirkpatrick_min001,avg_t_kirkpatrick_min001,avg_logt_kirkpatrick_min001,frac_lowmass_kirkpatrick_min001
-0.351,-1.445,-0.351,-1.445,2.771726590042461e-06,2.9875333600154253e-05,180.768275471195,21.572872278585983,1.115750609283518,0.068238246338592,-0.351,-1.445,4.101104020161671e-06,4.930951865480009e-05,26273.09748067548,19.33928302949602,1.1066809203216148,0.0840293728532864
-0.43,-1.313,-0.43,-1.313,2.310123916878925e-06,2.852660913066424e-05,51.658535320990886,18.830223401182497,1.105064436868432,0.0700676616741637,-0.43,-1.313,5.268471757249031e-06,5.801282664341388e-05,32858.73703047766,21.116939569309487,1.133202148652913,0.0737487000406296
0.378,-2.09,0.378,-2.09,2.5477282965238957e-06,3.119669721367301e-05,658.9390694586725,18.98955730739457,1.106991140875352,0.0711024042816976,0.378,-2.09,5.026892259077101e-06,4.2054474180144735e-05,15671.126843954617,27.79442650551902,1.2176421583668875,0.0687247870613979
0.3,-1.957,0.3,-1.957,2.554728023216074e-06,3.196396295555652e-05,582.9119749128417,18.58465060851324,1.097753956147106,0.0601911744902404,0.3,-1.957,3.621160294637557e-06,4.074268891543746e-05,16547.449632135773,20.666570284866516,1.1376133061031346,0.0795161563357881
0.221,-1.824,0.221,-1.824,2.6887537736418264e-06,3.4647528720685935e-05,564.3455202475612,18.04467718574697,1.0929185868686329,0.0645215758357941,0.221,-1.824,3.89335872447361e-06,4.420926124066989e-05,18631.20618461548,20.47771574950236,1.1337900723601002,0.0787618657699909
0.143,-1.691,0.143,-1.691,3.338413796390682e-06,3.772700070687961e-05,778.8106416281743,20.575871255983337,1.1202507308943352,0.0580438878671917,0.143,-1.691,3.758247087071503e-06,4.372337043781076e-05,20806.833572228315,19.986743764315303,1.1215523486993686,0.0849623076383657
0.064,-1.558,0.064,-1.558,2.6073412568306494e-06,3.413448270402456e-05,481.2612561444555,17.761306083359468,1.0778890336816602,0.0644024221448053,0.064,-1.558,4.072049072320947e-06,4.895566004448239e-05,24608.883246631536,19.341067486417263,1.1055421719388407,0.0834038133489167
-0.015,-1.425,-0.015,-1.425,2.0617099383410908e-06,2.8645628347581968e-05,159.1465218842106,16.73553340347781,1.046299052484046,0.0684655509375534,-0.015,-1.425,4.7263903969046825e-06,5.482223576081954e-05,30173.585402411358,20.04671406284162,1.1215227965084336,0.073513765201862
-0.094,-1.292,-0.094,-1.292,2.917219204064614e-06,3.210833013800585e-05,193.229714566638,21.12621482645533,1.1044951369419675,0.0655743324498072,-0.094,-1.292,5.116692080012725e-06,5.745510529671033e-05,32668.844789597777,20.707659005059256,1.1298207146329415,0.0788887169718376
-0.173,-1.159,-0.173,-1.159,2.860982434510242e-06,3.154248027254179e-05,126.13731904337384,21.09063709364325,1.1318859582059233,0.065039135222403,-0.173,-1.159,5.086751551406813e-06,6.081704029578664e-05,38098.18004030301,19.44847678025368,1.1070357997948477,0.0877298820539996
