l,b,gaia_median,gaia_std
9,-2,-0.34636634219315166,2.372742683152385
10,-2,-0.3727446282415593,2.300618386625714
-10,-1,-1.1045624190397643,3.151439534363703
-9,-1,-1.0236660053065139,3.209501284440123
-8,-1,-0.8608989731100565,2.936870369049669
-7,-1,-0.699076283751604,2.599504278080236
-6,-1,-0.5765239018399674,2.2515972652898064
-5,-1,-0.462178740347015,2.289045866765696
-4,-1,-0.670896592676303,2.834259617551034
-3,-1,-0.9775586521271801,3.24778648678436
-2,-1,-0.8241075400971687,3.0857492481286926
-1,-1,-0.8517884961242614,2.7343764729513187
0,-1,-0.630939040980495,2.6376296019699605
1,-1,-0.5280178719939197,2.7788346621104814
2,-1,-0.6021288487534131,2.8514085494121404
3,-1,-0.5798418495385489,2.6472425688663566
4,-1,-0.6252654450109523,2.890621234002756
5,-1,-0.6061843354009057,2.42303811516235
6,-1,-0.8469440414360367,2.367181460321869
7,-1,-0.6618563872361661,2.2209440974097756
8,-1,-0.5698957545603263,2.304663588853384
9,-1,-0.5381157378647698,2.133864500499008
10,-1,-0.6582615453991555,2.36640922653049
-10,0,-0.8278506657045894,2.679087927132256
-9,0,-0.7832589259675035,3.0582515129254153
-8,0,-0.8773198632699639,3.755903863355026
-7,0,-0.9245465199909725,4.896783544640432
-6,0,-0.6441846922909049,2.426613680366639
-5,0,-0.5452298412087988,1.9673358537728103
-4,0,-0.6601438640214823,2.584916729366186
-3,0,-0.8697622583679987,3.2941540898504784
-2,0,-0.9012006801026382,4.44543880432242
-1,0,-0.9279288962721615,4.812910935836917
0,0,-1.033025765329634,3.1766408382262328
1,0,-0.7002935897683642,2.570939233999126
2,0,-0.7860731562530748,3.045917356368485
3,0,-0.865498572259154,3.099797909693367
4,0,-0.7742511000694619,3.284311357452635
5,0,-0.8783958167791271,3.4578165035916
6,0,-0.7339612723734915,2.632312522279538
7,0,-0.7602133428026191,3.0619930754180964
8,0,-0.6341524235810181,2.3268296311466026
9,0,-0.6385806091802798,1.9836412892882822
10,0,-0.69153575235618,2.9089949164934708
-10,1,-0.4576000939917422,4.8736847525582565
-9,1,-0.7925271421597935,3.135482387048962
-8,1,-0.6561797346093018,3.0943996626921484
-7,1,-0.9743370613095574,4.206623256134597
-6,1,-0.24568011606123225,2.340916229998563
-5,1,-0.4796244755201703,2.788017418429755
-4,1,-0.5012749287602454,2.5567255608781934
-3,1,-0.4304951212326071,2.694989587112677
-2,1,-0.3156734137975816,2.7879680192542553
-1,1,-0.34532860509336516,3.021508635738827
0,1,-0.2706088653803039,3.2506440528386635
1,1,-0.27764606227712413,3.093646345916099
2,1,-0.4000445119251036,3.029414849720671
3,1,-0.9233228798817502,3.6956121067458803
4,1,-0.5450993851511567,2.5930709224982618
5,1,-0.4932898960646992,2.6148914572896857
6,1,-0.3629446463066794,2.3415489032373524
7,1,-0.5819591742000527,3.8504984407849765
8,1,-0.5455963833552903,2.235413004898396
9,1,-0.6079894284618775,2.2821227434074944
10,1,-0.657457175358164,2.457905458769985
-10,2,-0.5208478956302804,2.7953846900345223
-9,2,-0.3247111897358561,2.3206138992404677
-8,2,-0.43527071202453826,2.839252220802173
-7,2,-0.3552950316237399,2.850288729898486
-6,2,-0.6744186481004522,3.108695268500781
-5,2,-0.2977314875184802,2.6380973846648517
-4,2,-0.43951019501061195,2.776948601175031
-3,2,-0.22392577739051212,2.601578366897381
-2,2,-0.34012551213948206,2.745255657776794
-1,2,-0.3154992595178785,2.832537223951585
0,2,-0.41406516615732136,2.950912306588274
1,2,-0.35636953765364954,3.1462672455372167
2,2,-0.3596467366262352,2.8642468897988547
3,2,-0.3013952751967212,2.99800126380632
4,2,-0.4284173440438497,2.8533042708918033
5,2,-0.3619433099124748,2.9293868674948675
6,2,-0.40127646596587385,2.6965066794603234
7,2,-0.3878608232305151,2.4264908861644856
8,2,-0.3973336496802764,2.3545904120419023
9,2,-0.46883957242973845,2.2628748184253906
10,2,-0.35675700495918505,2.7065480133000084
-10,3,-0.3041390711842893,2.7049412493270637
