l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,stdev_t,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,n_compact_obj,frac_compact_obj,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
1.438,-1.479,8698,3128,4.0666425541525594e-07,9.558894632906915e-10,2.427975030529224e-06,6.767237048986546,0.2374490086177977,217.91266235991108,3.344601106581758e-05,16.87991419135014,1.009712635516183,22.741423010040794,0.42535660115777363,8.748848313627493,7.087795010448004,1.7621346658606838,1.472748363811892,22.741423010040794,0.8154607498593581,0.18258926790876795,0.8512148928806995,0.14813052343997887,169,0.10300399716131337,0.24056857229969655,BLG500.17,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.438_b-1.479.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.438_b-1.479.h5,0.0005232371596478355,0.0006300413865740528
1.36,-1.346,7420,4412,1.8703509574903905e-07,1.2221250881842747e-09,2.903340005026844e-06,6.9387433405715235,0.2456720355726511,495.46077165069795,4.099904498565075e-05,16.466242434017715,1.0102364783745796,19.945891368137858,0.4251278518850301,8.754218561456147,7.109887979305991,1.6833430713438344,1.4900715174367114,19.945891368137858,0.8131180105916913,0.18423494431486837,0.8449813801583266,0.15224387981056883,267,0.1163153538422198,0.22411944698535646,BLG500.18,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.360_b-1.346.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.360_b-1.346.h5,0.0010693866348764998,0.0018681340094650629
1.282,-1.213,3194,4154,1.0082836594940054e-07,1.1081981731840457e-09,2.9103920929427488e-06,6.933059753542374,0.24402003116272025,391.41327497256464,4.056286600373166e-05,16.68373244631386,1.0102304893859946,20.621078625065728,0.43006214222406386,8.729562746379349,7.076664143854211,1.5707164265961064,1.47788959452907,20.621078625065728,0.8297982041472411,0.16740682616174862,0.8357091255507618,0.16232798909412133,224,0.10482918864628249,0.22167300697102882,BLG500.19,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.282_b-1.213.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.282_b-1.213.h5,0.0019352723334301561,0.000615088382514015
1.204,-1.08,3417,4271,1.2629438224356937e-07,1.0670748215128402e-09,2.558606977118449e-06,6.961342016998822,0.2260794298984073,319.3671166473349,3.8750250676612545e-05,15.353217808991301,0.9881590059662363,18.3451650742587,0.4170849842803581,8.723182708947096,7.09484082005077,1.7144705974028187,1.388882334181671,18.3451650742587,0.8003233099176259,0.19708359038243237,0.8174112275844856,0.17799580911457136,260,0.10306521762056825,0.23728974551859083,BLG500.20,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.204_b-1.080.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.204_b-1.080.h5,0.002333410818173791,0.0045929633009434015
1.125,-0.947,4171,4308,2.2821937090420207e-07,9.991451369004042e-10,3.0030597178686594e-06,6.883791577564688,0.27483412919585276,212.36745207965876,3.8145695300426834e-05,18.305802846360805,1.0534080554917034,20.729209637858517,0.43937249302892073,8.919278126746587,6.950766999644965,2.0841870596604894,1.5706814021865698,20.729209637858517,0.7479059242347705,0.24546778865462568,0.756732243136628,0.23419598310019724,234,0.11283544336435947,0.21078084092119792,BLG500.21,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.125_b-0.947.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.125_b-0.947.h5,0.005262322253877116,0.008257077961468882
1.046,-0.814,4196,4433,4.121473689714167e-07,9.278646606703143e-10,2.8159083460395226e-06,6.822028300241369,0.2789096849535086,108.4077776692956,3.49560827422681e-05,18.731221690554772,1.0556667535928639,22.582732354424216,0.4413143955698733,9.149190228972866,7.153366213872191,2.168960426462018,1.6172235333592382,22.582732354424216,0.7860388934775718,0.20071017304364874,0.6805777532008739,0.30278334752427394,264,0.1394838890239218,0.21773572899380295,BLG500.22,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.046_b-0.814.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.046_b-0.814.h5,0.01293781007989019,0.01592778094491543
1.641,-1.19,3258,4106,3.92956471524854e-07,1.153890786152052e-09,2.408843955299241e-06,6.6162129173343205,0.291177231909119,69.27342407886711,2.7428703824965796e-05,20.420845987707377,1.0761877098267034,26.94316136437693,0.44886653228334844,9.086781599175719,7.030340297924004,2.2416709575150233,1.5524054772108533,26.94316136437693,0.7852568266550796,0.21385925388309598,0.7301705478156834,0.26826086174652414,236,0.11791268495244515,0.2339687970849784,BLG500.26,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.641_b-1.190.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.641_b-1.190.h5,0.0005572477261684805,0.0008403054789343904
1.563,-1.056,7649,4130,4.825139929421464e-07,1.1240382790129545e-09,2.5205640913815086e-06,6.901705858211781,0.2939391480813615,148.62567226027844,3.077828014907583e-05,19.042490347081277,1.051065523058805,24.405144964486723,0.4468165329865929,8.849581496032917,7.017032211483104,2.0513386974929064,1.52580127600297,24.405144964486723,0.783975159806481,0.21254909438965489,0.7655172485029199,0.22967232459076486,272,0.15547194632542485,0.2166057986427128,BLG500.27,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.563_b-1.056.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.563_b-1.056.h5,0.0021622572242517616,0.004244956919420975
1.484,-0.923,4025,4516,5.199819355759115e-07,1.0887026583176964e-09,2.3864309821671493e-06,6.7102446595636955,0.25071620447487875,72.74797905633513,3.085237273271156e-05,17.98583714606026,1.0522838670689911,21.30325848757715,0.4237024232384659,9.157171223711634,7.129524497503962,2.2721363653131634,1.5538665592197538,21.30325848757715,0.8063875606333035,0.18857292202084522,0.7260253346150912,0.2684762601981065,254,0.09773465963282847,0.2266055393163113,BLG500.28,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.484_b-0.923.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.484_b-0.923.h5,0.004823095987911319,0.004429566855177594
-0.233,-2.277,3912,4324,1.0795641357240952e-07,1.6778327481851906e-09,2.300814106485141e-06,6.399680213013657,0.23743660935070712,338.5790839537621,3.0672910877610765e-05,17.442024261068696,1.0364333243670594,22.697929456165983,0.41389345099756053,8.910426999040045,7.332349418572962,1.5769231895791305,1.3932143867026054,22.697929456165983,0.8550860971478872,0.14424282953482417,0.9147312868803177,0.08415078166468867,251,0.1154161563849497,0.2308306967319755,BLG501.01,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l-0.233_b-2.277.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l-0.233_b-2.277.h5,0.0,0.0
