l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
-0.193,-1.71,3149,4303,8.136331282502986e-08,1.953816130511949e-09,2.7045966933529778e-06,6.6791010171072305,0.26357040602773674,398.09556312737226,3.3766695748275996e-05,18.624485988621586,1.1035652526287965,19.93775926410881,0.37995684382717343,8.927896456956526,7.321124308094536,1.6164141950938808,1.3161216643476763,0.8323439196036169,0.16748330842600045,0.8760138628073679,0.12206933978812451,0.06483388060693204,30,outputfiles/ogle_chips/src/Huston2025_l-0.193_b-1.710.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.193_b-1.710.h5,0.00016831710697025128,0.0003685871431591449
-0.272,-1.578,4070,4270,1.5636012157651748e-07,1.8164336741881434e-09,2.3767796678525237e-06,6.916641714590334,0.2660322950060953,244.1683664042814,3.079401043619598e-05,17.94704776226775,1.0819778076001312,20.254188792406023,0.3827489874219554,8.90350620382008,7.248411334993467,1.7465025619602088,1.5010592209889426,0.8159111984849261,0.18298771647453385,0.873405623806034,0.12522636373823876,0.0623200114568475,31,outputfiles/ogle_chips/src/Huston2025_l-0.272_b-1.578.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.272_b-1.578.h5,0.0003607407078787381,0.0002003640381379407
-0.351,-1.445,3052,4366,1.536490265404158e-07,1.7015929069285542e-09,2.771726590042461e-06,6.639124175018829,0.30848236603528656,180.768275471195,2.9875333600154253e-05,21.572872278585983,1.115750609283518,28.725852306493476,0.4225819663729632,8.94835238482399,7.188728792924251,1.8679359768265467,1.619022725868934,0.8052489556231214,0.19282137207284394,0.8436868618653676,0.15565776226483583,0.06823824633859202,32,outputfiles/ogle_chips/src/Huston2025_l-0.351_b-1.445.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.351_b-1.445.h5,0.0011436186395475786,0.0004965885511161531
-0.43,-1.313,4357,4363,7.329095120068208e-07,1.558727337048588e-09,2.3101239168789255e-06,6.696553797287284,0.26769094452135944,51.658535320990886,2.8526609130664238e-05,18.830223401182497,1.105064436868432,20.373881534517093,0.3849077630667523,9.136085272476656,7.3537593537797985,1.9044255384858446,1.4055623314447472,0.821205892720333,0.17585298939987798,0.813571648642892,0.1829926551482424,0.07006766167416376,33,outputfiles/ogle_chips/src/Huston2025_l-0.430_b-1.313.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.430_b-1.313.h5,0.0023864554271321907,0.0028659933759592263
0.378,-2.09,4066,3984,5.8638853308941393e-08,2.163697532744991e-09,2.5477282965238953e-06,6.546830560435865,0.26597632087115525,658.9390694586725,3.119669721367301e-05,18.98955730739457,1.106991140875352,21.44690303806421,0.3798376715411281,8.891493224298598,7.36366331022831,1.474675511120901,1.2612239137446775,0.8605585778389333,0.13810404287701705,0.8997820578808059,0.09891002538262877,0.07110240428169769,34,outputfiles/ogle_chips/src/Huston2025_l0.378_b-2.090.h5,outputfiles/ogle_chips/lens/Huston2025_l0.378_b-2.090.h5,8.670829750559222e-05,0.0
0.3,-1.957,3454,4186,5.76945393076026e-08,2.1725314379188053e-09,2.554728023216074e-06,6.74236803936307,0.2643515424502126,582.9119749128417,3.196396295555652e-05,18.584650608513236,1.0977539561471061,20.92029484966057,0.3809713181716168,8.985613355258277,7.323233830284557,1.7662000461570424,1.317883337283251,0.8507569204176314,0.14768339893388013,0.877070857047786,0.12122799116664496,0.06019117449024043,35,outputfiles/ogle_chips/src/Huston2025_l0.300_b-1.957.h5,outputfiles/ogle_chips/lens/Huston2025_l0.300_b-1.957.h5,0.00021482932911029402,0.00033115394714870456
0.221,-1.824,3572,4344,6.680260015922518e-08,2.075967715846419e-09,2.6887537736418264e-06,6.65700007208984,0.25388900932410646,564.3455202475612,3.4647528720685935e-05,18.04467718574697,1.0929185868686329,19.71844553452881,0.37296743015482464,8.91252872308225,7.375567274780387,1.6071096411117436,1.1833351543276125,0.8582881371111741,0.13995386751313868,0.889250221644319,0.10989468806183708,0.06452157583579413,36,outputfiles/ogle_chips/src/Huston2025_l0.221_b-1.824.h5,outputfiles/ogle_chips/lens/Huston2025_l0.221_b-1.824.h5,0.000376042506815037,0.000339648188101113
0.143,-1.691,5070,4240,7.481403829961562e-08,1.9114743091615964e-09,3.338413796390682e-06,6.963082840569257,0.32439536084455206,778.8106416281743,3.772700070687961e-05,20.575871255983337,1.1202507308943352,25.962233537198543,0.3985547302105539,8.85927532380224,7.143929450407401,1.4102254090662922,1.6595105385741016,0.8041339897313161,0.19448747963462937,0.8838753738989505,0.11398698855034135,0.05804388786719171,37,outputfiles/ogle_chips/src/Huston2025_l0.143_b-1.691.h5,outputfiles/ogle_chips/lens/Huston2025_l0.143_b-1.691.h5,0.0007753853424390462,0.0005284181927303504
0.064,-1.558,4131,4281,8.925290399750561e-08,1.8033351251373147e-09,2.6073412568306494e-06,6.731468200096113,0.2507726293936324,481.2612561444555,3.413448270402456e-05,17.761306083359468,1.0778890336816602,19.59148612973612,0.3839230598509928,8.833160098546104,7.39144621756632,1.4035033067447753,1.238712914321698,0.8525838635856254,0.1450075512838546,0.879077016013951,0.11835969576771575,0.0644024221448053,38,outputfiles/ogle_chips/src/Huston2025_l0.064_b-1.558.h5,outputfiles/ogle_chips/lens/Huston2025_l0.064_b-1.558.h5,0.0016535078749292402,0.0020823407051964037
-0.015,-1.425,4269,4312,2.3406802536410687e-07,1.6848389488402852e-09,2.0617099383410908e-06,6.912055937586608,0.23453899193253644,159.14652188421059,2.8645628347581968e-05,16.73553340347781,1.0462990524840459,19.133902957909775,0.38885191546502684,8.985986015911434,7.478073594680573,1.9835153180671523,1.0993826023455382,0.8642210251358432,0.13377229338484864,0.8416111662772181,0.15588671679420538,0.06846555093755344,39,outputfiles/ogle_chips/src/Huston2025_l-0.015_b-1.425.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.015_b-1.425.h5,0.0009783656231403903,0.00249082287801733
