l,b,mub_median,mub_std
-5.0,-5.0,-0.28009884,2.584181912615898
-5.0,-4.0,-0.29714041,2.4932572866414815
-5.0,-3.0,-0.38014236,2.549218789072303
-5.0,-2.0,-0.39575799,2.299825915391554
-5.0,-1.0,-0.465372535,2.3446646964589832
-5.0,0.0,-0.47210275,2.2151747706394858
-5.0,1.0,-0.67683805,2.8784610870737786
-5.0,2.0,-0.49319779,2.718867501604832
-5.0,3.0,-0.393200215,3.5981305166920485
-5.0,4.0,-0.32699221,2.7454991055700546
-5.0,5.0,-0.287389585,2.8252693274895533
-4.0,-10.0,-0.3532316,2.9182811691664847
-4.0,-9.0,-0.341866,2.943123199250867
-4.0,-8.0,-0.29581099,2.6091349400769794
-4.0,-7.0,-0.24925031,2.583666144487165
-4.0,-6.0,-0.3004365,2.5792665363358718
-4.0,-5.0,-0.28642892,2.5685476022492866
-4.0,-4.0,-0.30512942499999995,2.520042519075482
-4.0,-3.0,-0.38630169,2.8372073953154304
-4.0,-2.0,-0.44780943,2.525628429242036
-4.0,-1.0,-0.55629888,2.614923325949487
-4.0,0.0,-0.53571611,2.301627162125629
-4.0,1.0,-0.584018935,2.578700598971351
-4.0,2.0,-0.5193670450000001,2.811600926926299
-4.0,3.0,-0.281607555,2.6362461668444612
-4.0,4.0,-0.25838068000000003,2.5847727520966717
-4.0,5.0,-0.25302729,2.828082343341236
-3.0,-10.0,-0.297975865,2.9496675536014885
-3.0,-9.0,-0.31241304,2.776324875560989
-3.0,-8.0,-0.244054135,2.6475239680906
-3.0,-7.0,-0.30003746,2.567517588381562
-3.0,-6.0,-0.2815653,2.6245880197458393
-3.0,-5.0,-0.29188405,2.62021765293225
-3.0,-4.0,-0.32678184,2.6372898793507784
-3.0,-3.0,-0.35655744,2.5642994148238274
-3.0,-2.0,-0.7061609950000001,3.1751380432123506
-3.0,-1.0,-0.65976218,3.0429505617523653
-3.0,0.0,-0.637689425,3.1950036417230256
-3.0,1.0,-0.435532115,2.3396057274476267
-3.0,2.0,-0.28714051,2.46526182880821
-3.0,3.0,-0.249543125,2.6113404831601557
-3.0,4.0,-0.25395389,2.613617705608674
-3.0,5.0,-0.28711604999999996,2.6552866150234116
-2.0,-10.0,-0.328930435,2.8034111013531313
-2.0,-9.0,-0.32083925,2.8388659644822707
-2.0,-8.0,-0.28065052,2.6072975467610355
-2.0,-7.0,-0.2797624,2.7598643711525845
-2.0,-6.0,-0.27906058,2.681060628503728
-2.0,-5.0,-0.31568501,2.672090647127697
-2.0,-4.0,-0.35389465,2.6489518546701745
-2.0,-3.0,-0.36757853,2.6011732620435377
-2.0,-2.0,-0.961235525,4.180029624864266
-2.0,-1.0,-0.661210745,3.2054682755867585
-2.0,0.0,-0.581249565,2.6131375516384203
-2.0,1.0,-0.476116475,2.5825922458542645
-2.0,2.0,-0.343634415,2.773558353555278
-2.0,3.0,-0.28238364,2.6545894026718257
-2.0,4.0,-0.26261276,2.7618837040388104
-2.0,5.0,-0.26075348,2.860176658946907
-1.0,-10.0,-0.35618692,2.8887322467583556
-1.0,-9.0,-0.26991251,2.7867150368847273
-1.0,-8.0,-0.28710985,2.6501522762138974
-1.0,-7.0,-0.293334835,2.638005792529182
-1.0,-6.0,-0.30644379,2.6556715676664076
-1.0,-5.0,-0.285106985,2.7058253889765544
-1.0,-4.0,-0.351508625,2.8974105913040002
-1.0,-3.0,-0.364992565,2.654952780624297
-1.0,-2.0,-0.35463566,2.643445696322839
-1.0,-1.0,-0.7188251,2.9612226948460147
-1.0,0.0,-0.6259199449999999,3.1203021454378654
-1.0,1.0,-0.466947145,2.4862814577890786
-1.0,2.0,-0.34177658,2.806680652093087
-1.0,3.0,-0.294629885,2.63633772290408
-1.0,4.0,-0.26301072,2.7328366892382365
-1.0,5.0,-0.29071113,3.0987177299373148
0.0,-10.0,-0.2917759,2.7468933614722006
0.0,-9.0,-0.313375665,2.666828865050456
0.0,-8.0,-0.29193682,2.69344056875712
0.0,-7.0,-0.27592318,2.605754518203662
0.0,-6.0,-0.28432687,2.616696437466611
0.0,-5.0,-0.31181895,2.7852547880905836
0.0,-4.0,-0.30536468,2.688227079673311
0.0,-3.0,-0.39530951,2.670996487228307
0.0,-2.0,-0.29945846,2.6988982548067804
0.0,-1.0,-0.53452617,2.4743060064749733
0.0,0.0,-0.663412695,3.213090077056611
0.0,1.0,-0.43796063,2.6305056373302045
0.0,2.0,-0.37126236,2.7978893577313237
0.0,3.0,-0.3617822,2.854815990419394
0.0,4.0,-0.523248105,4.642958476472325
0.0,5.0,-0.30188557,2.7431999025772322
1.0,-10.0,-0.341447605,2.9104482410845125
1.0,-9.0,-0.332133785,2.7300053397436757
1.0,-8.0,-0.30770895,2.619637382325616
1.0,-7.0,-0.26088679000000004,2.652451918559263
1.0,-6.0,-0.264017485,2.607409922468686
1.0,-5.0,-0.24547658,2.636725300579534
1.0,-4.0,-0.26008711,2.68159629741937
1.0,-3.0,-0.27433012,2.678813662269961
1.0,-2.0,-0.315153395,2.636920586328678
1.0,-1.0,-0.442881435,2.5447542339426126
1.0,0.0,-0.61489115,2.722306823187989
1.0,1.0,-0.46905672,2.619612930848643
1.0,2.0,-0.36154569999999997,3.0092418011685056
1.0,3.0,-0.35680265499999997,2.8320869888366675
1.0,4.0,-0.5113468699999999,3.544825095324834
1.0,5.0,-0.310399005,2.9048189295349633
2.0,-10.0,-0.29962288,2.813290002733039
2.0,-9.0,-0.31392445,2.804916038636037
2.0,-8.0,-0.26415438,2.6433050699233265
2.0,-7.0,-0.2798802,2.589455184697887
2.0,-6.0,-0.25671383,2.552882681623613
2.0,-5.0,-0.280406975,2.624555081862796
2.0,-4.0,-0.2740881,2.6376506758134544
2.0,-3.0,-0.27594641,2.6805678137032256
2.0,-2.0,-0.31324719,2.66410631777509
2.0,-1.0,-0.512542045,2.3747355626607476
2.0,0.0,-0.615289855,2.7377160299492833
2.0,1.0,-0.43442983,2.4902390799699803
2.0,2.0,-0.35238071,2.705523834194706
2.0,3.0,-0.4432079,3.0565715695088773
2.0,4.0,-0.49893478,3.5558069146289757
2.0,5.0,-0.29099315000000003,2.841360166500782
3.0,-10.0,-0.30392256,2.9161746758143385
