field_id,GLON,GLAT,avg_tau_model,avg_tau_ogle,avg_tau_model_over_ogle,avg_tau_frac_resid,avg_tau_abs_resid,eventrate_source_model,eventrate_source_ogle,eventrate_source_model_over_ogle,eventrate_source_frac_resid,eventrate_source_abs_resid,eventrate_area_model,eventrate_area_ogle,eventrate_area_model_over_ogle,eventrate_area_frac_resid,eventrate_area_abs_resid,avg_t_model,avg_t_ogle,avg_t_model_over_ogle,avg_t_frac_resid,avg_t_abs_resid
BLG500,0.9999,-1.0293,5.007325243842777,1.93,2.5944690382605065,1.5944690382605065,3.077325243842777,54.42889188127626,23.9,2.2773594929404295,1.2773594929404295,30.52889188127626,29484.98740898558,168.8,174.67409602479609,173.67409602479609,29316.18740898558,21.38365060829933,18.8,1.137428223845709,0.13742822384570896,2.5836506082993296
BLG648,1.9634,0.9419,5.9372443425618675,1.9,3.1248654434536145,2.1248654434536145,4.037244342561868,55.524726125396334,18.3,3.034138039639144,2.034138039639144,37.22472612539633,29117.99321981593,33.2,877.0479885486725,876.0479885486725,29084.79321981593,24.799850722500288,24.0,1.033327113437512,0.033327113437511935,0.7998507225002882
BLG654,-1.9286,1.3682,4.716867276266195,1.84,2.5635148240577146,1.5635148240577146,2.8768672762661955,47.01199918557209,16.7,2.815089771591143,1.815089771591143,30.311999185572088,23938.446472124837,53.0,451.668801360846,450.668801360846,23885.446472124837,23.316659698557906,25.6,0.9108070194749182,-0.08919298052508184,-2.283340301442095
BLG675,0.7819,1.6875,4.378748659771144,2.4,1.824478608237977,0.8244786082379769,1.9787486597711443,46.81425767315808,26.5,1.7665757612512483,0.7665757612512483,20.31425767315808,22409.780651243756,95.5,234.65738901825924,233.65738901825924,22314.280651243756,21.717262535755715,21.0,1.0341553588455104,0.03415535884551035,0.7172625357557152
BLG653,-0.8998,2.0442,3.6395285166666906,2.29,1.5893137627365461,0.5893137627365461,1.3495285166666906,38.95377947113216,20.1,1.9379989786632914,0.9379989786632914,18.853779471132157,16352.775907257927,67.7,241.54765003335194,240.54765003335194,16285.075907257926,21.69880332658717,26.6,0.8157444859619237,-0.18425551403807627,-4.90119667341283
BLG652,1.8508,2.3,3.0619366492778557,1.52,2.0144320061038523,1.0144320061038523,1.5419366492778557,31.62283513323138,14.2,2.2269602206500974,1.2269602206500974,17.42283513323138,10044.811332154086,60.0,167.4135222025681,166.4135222025681,9984.811332154086,22.47706667146849,24.9,0.9026934406212245,-0.09730655937877553,-2.42293332853151
BLG613,-2.0762,2.7248,2.48205236072807,1.31,1.8946964585710457,0.8946964585710457,1.17205236072807,25.275858224308642,12.4,2.038375663250697,1.0383756632506969,12.875858224308642,7158.829244231844,62.7,114.17590501167216,113.17590501167216,7096.1292442318445,22.869060516254272,24.4,0.9372565785350112,-0.06274342146498879,-1.5309394837457262
BLG611,0.3282,2.8242,2.4743053230613556,1.52,1.6278324493824707,0.6278324493824707,0.9543053230613556,26.496165339105037,16.2,1.6355657616731505,0.6355657616731505,10.296165339105038,7366.409176977168,70.0,105.23441681395954,104.23441681395954,7296.409176977168,21.756364616440734,21.8,0.9979983769009511,-0.0020016230990489436,-0.043635383559266216
BLG714,2.4794,2.8944,2.233488341703205,1.24,1.801200275567101,0.801200275567101,0.9934883417032052,22.476358679062606,11.0,2.043305334460237,1.043305334460237,11.476358679062606,5075.125956832861,41.6,121.99822011617455,120.99822011617455,5033.525956832861,23.09690807709365,26.4,0.8748828817080929,-0.12511711829190708,-3.303091922906347
BLG612,-1.0464,3.4008,1.9649484867390612,1.19,1.6512172157471103,0.6512172157471103,0.7749484867390612,19.760237562201734,10.1,1.9564591645744291,0.9564591645744291,9.660237562201734,4176.373112469748,48.2,86.64674507198646,85.64674507198646,4128.173112469748,23.207508481052667,27.0,0.8595373511500988,-0.14046264884990123,-3.792491518947333
BLG667,1.3523,3.4996,1.8300405974796268,1.23,1.487837884129778,0.4878378841297779,0.6000405974796268,18.443535718801634,11.3,1.6321713025488171,0.6321713025488171,7.143535718801633,3483.162365503513,17.3,201.33886505800652,200.33886505800652,3465.8623655035126,23.166146480898114,25.3,0.9156579636718621,-0.08434203632813786,-2.133853519101887
BLG614,-2.2382,4.0765,1.4511357210158886,0.78,1.8604304115588315,0.8604304115588315,0.6711357210158886,13.561767011624887,5.5,2.465775820295434,1.465775820295434,8.061767011624887,1996.2099282592983,21.9,91.1511382766803,90.1511382766803,1974.3099282592982,25.00929652388805,33.2,0.7532920639725316,-0.24670793602746843,-8.190703476111953
BLG666,0.1737,4.1858,1.4282040254818047,1.57,0.9096840926635699,-0.09031590733643013,-0.14179597451819537,13.780171835623202,9.8,1.4061399832268573,0.4061399832268573,3.980171835623201,1940.4299079098603,12.7,152.78975652833546,151.78975652833546,1927.7299079098602,24.179016025098818,37.3,0.6482309926299952,-0.3517690073700048,-13.12098397490118
BLG715,2.3472,4.2575,1.3182272767851397,1.24,1.063086513536403,0.06308651353640293,0.07822727678513974,12.499922252919117,10.2,1.2254825738155997,0.22548257381559966,2.2999222529191172,1551.1524942971673,22.0,70.50693155896215,69.50693155896215,1529.1524942971673,24.529838112815433,28.0,0.8760656468862654,-0.12393435311373457,-3.4701618871845668
BLG619,0.0082,5.4341,,0.69,,,,,3.3,,,,,9.4,,,,,49.0,,,
